marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(_),type_2
TOYOTA,AYGO 5P 1.0 VVT-i MultiMode,MJT3062VG274,4.0,50.0,A 5,5.5,4.1,4.6,109.0,ES,B,-700,MJT3062V
TOYOTA,AYGO 5P 1.0 VVT-i MultiMode,MJT3062VL595,4.0,50.0,A 5,5.5,4.1,4.6,109.0,ES,B,-700,MJT3062V
TOYOTA,AYGO 5P 1.0 VVT-i MultiMode,MJT3062VN112,4.0,50.0,A 5,5.5,4.1,4.6,109.0,ES,B,-700,MJT3062V
TOYOTA,AYGO 5P 1.0 VVT-i MultiMode,MJT3072V0124,4.0,50.0,A 5,5.5,4.1,4.6,109.0,ES,B,-700,MJT3072V
TOYOTA,AYGO 5P 1.0 VVT-i MultiMode,MJT3072VN887,4.0,50.0,A 5,5.5,4.1,4.6,109.0,ES,B,-700,MJT3072V
TOYOTA,AYGO 5P 1.0 VVT-i MultiMode,MJT3072VP500,4.0,50.0,A 5,5.5,4.1,4.6,109.0,ES,B,-700,MJT3072V
SMART,SMART FORTWO 1.0L  BVM5,MST1001D5338,4.0,45.0,M 5,6.1,4.0,4.7,112.0,ES,B,-700,MST1001D
SMART,SMART FORTWO 1.0L  BVM5,MST1001DY331,4.0,45.0,M 5,6.1,4.0,4.7,112.0,ES,B,-700,MST1001D
SMART,SMART FORTWO 1.0L  BVM5,MST1101D9332,4.0,52.0,M 5,6.1,4.0,4.7,112.0,ES,B,-700,MST1101D
SMART,SMART FORTWO 1.0L  BVM5,MST1101DG339,4.0,52.0,M 5,6.1,4.0,4.7,112.0,ES,B,-700,MST1101D
SMART,SMART FORTWO COUPE 1.0L (45kW),MST1001DJ351,4.0,45.0,M 5,6.1,4.0,4.7,112.0,ES,B,-700,MST1001D
SMART,SMART FORTWO COUPE 1.0L (52kW),MST1101DT352,4.0,52.0,M 5,6.1,4.0,4.7,112.0,ES,B,-700,MST1101D
SMART,SMART FORTWO CABRIOLET (45kW) SOFTIP/SOFTOUCH,MST1005D2327,4.0,45.0,M 6,6.0,4.0,4.7,113.0,ES,B,-700,MST1005D
SMART,SMART FORTWO COUPE (37kW) SOFTIP/SOFTOUCH,MST1001DM319,3.0,37.0,M 6,6.0,4.0,4.7,113.0,ES,B,-700,MST1001D
