marques,modele,typ._mines,cnit,carb,cv,puiss.,bv,urbain,ex.urb,mixte,co2
VOLKSWAGEN,POLO TDI (75ch),MVW5192C7177,6NSCAMFX01SGFM52J0521N114K,GO,4,55.0,M 5,5.7,3.6,4.4,119
PEUGEOT,2063P 2.0HDi,MPE5201KG658,2CRHYU,GO,5,66.0,M 5,5.8,3.8,4.5,120
PEUGEOT,2065P 2.0HDi,MPE5202KH657,2ARHYU,GO,5,66.0,M 5,5.8,3.8,4.5,120
PEUGEOT,3073P 1.4HDi,MPE5001MG773,3A8HZB,GO,4,50.0,M 5,5.5,4.0,4.5,120
PEUGEOT,3075P 1.4HDi,MPE5002MJ774,3C8HZB,GO,4,50.0,M 5,5.5,4.0,4.5,120
VOLKSWAGEN,POLO TDI (75ch),MVW5192C8178,6NSCAMFX01SGFM52J0521N114L,GO,4,55.0,M 5,5.8,3.7,4.5,120
MERCEDES-BENZ,A 160 CDI,MMB51C2PM784,168M20FF2HDAAAA0,GO,4,55.0,M 5,6.0,4.1,4.8,127
MERCEDES-BENZ,A 160 CDI,MMB51C2PN785,168M20FF2HDAABA0,GO,4,55.0,M 5,6.0,4.1,4.8,127
OPEL,CORSA 3P 1.7DI 16V,MPL5061FC436,CORSA-CAE111A09ADJCAC5,GO,4,48.0,M 5,5.8,4.1,4.7,127
OPEL,CORSA 3P 1.7DI 16V CLIM,MPL5061FF439,CORSA-CBE113A09A9LCAC5,GO,4,48.0,M 5,5.8,4.1,4.7,127
OPEL,CORSA 3P 1.7DTI 16V CLIM,MPL5161FR599,CORSA-CBD111A05AAHCAC5,GO,4,55.0,M 5,5.8,4.1,4.7,127
OPEL,CORSA 5P 1.7DI 16V,MPL5062FT451,CORSA-CCE111A10ADJCAC5,GO,4,48.0,M 5,5.8,4.1,4.7,127
OPEL,CORSA 5P 1.7DI 16V CLIM,MPL5062F5463,CORSA-CDE111A10AFKCAC5,GO,4,48.0,M 5,5.8,4.1,4.7,127
OPEL,CORSA 5P 1.7DTI 16V CLIM,MPL5162FX603,CORSA-CDD111A11AGHCAC5,GO,4,55.0,M 5,5.8,4.1,4.7,127
FIAT,PUNTO 3P JTD,MFT5101H6957,188AXE1A10C,GO,5,59.0,M 5,6.6,4.0,4.9,130
FIAT,PUNTO 3P JTD,MFT5111H7048,188AXE1A10D,GO,5,59.0,M 5,6.6,4.0,4.9,130
FIAT,PUNTO 5P JTD,MFT5102H9958,188BXE1A11C,GO,5,59.0,M 5,6.6,4.0,4.9,130
FIAT,PUNTO 5P JTD,MFT5112HA049,188BXE1A11D,GO,5,59.0,M 5,6.6,4.0,4.9,130
OPEL,ASTRA 3P 1.7DTI 16V CLIM,MPL5161HC230,T98BJ112A33A550GCN5,GO,5,55.0,M 5,6.1,4.0,4.8,130
OPEL,ASTRA 5P 1.7DTI 16V CLIM,MPL5162HQ278,T98DJ112A34A850GCN5,GO,5,55.0,M 5,6.1,4.0,4.8,130
VOLKSWAGEN,POLO SDI,MVW50A2C0229,6NSCASXX01SGFM5850341N113K,GO,4,47.0,M 5,6.3,3.9,4.8,130
VOLKSWAGEN,POLO SDI,MVW50A2C1230,6NSCASXX01SGFM5850341N113L,GO,4,47.0,M 5,6.4,3.9,4.8,130
AUDI,A33P 1.9TDI (90ch),MAU5281G9880,8LLALHF1FM52J017R8L60T2L,GO,5,66.0,M 5,6.5,4.1,4.9,132
OPEL,ASTRA BREAK 1.7DTI 16V CLIM,MPL5164HP175,T98/KOMBIFJ112A22BS33GCJ5,GO,5,55.0,M 5,6.2,4.1,4.9,132
SEAT,CORDOBA 2P TDI (110ch),MSE5411BE092,6KSTASVX01SGFM52J0212L,GO,6,81.0,M 5,6.4,4.0,4.9,132
SEAT,CORDOBA TDI (110ch),MSE5412BH093,6KSTASVX01SGFM52J0214L,GO,6,81.0,M 5,6.4,4.0,4.9,132
SEAT,IBIZA 3P TDI (110ch),MSE5411GT745,6KSCASVX01SGFM52J0212L,GO,6,81.0,M 5,6.4,4.0,4.9,132
SEAT,IBIZA 5P TDI (110ch),MSE5412GW746,6KSCASVX01SGFM52J0214L,GO,6,81.0,M 5,6.4,4.0,4.9,132
SKODA,FABIA 1.9SDI (64ch),MSK5012E1133,6YSCASYX01FM5FM52T006MALLE,GO,4,47.0,M 5,6.3,4.1,4.9,132
SKODA,FABIA 1.9TDI (100ch),MSK5312EW134,6YSCATDX01FM5FM52R011LALLE,GO,6,74.0,M 5,6.4,4.0,4.9,132
SKODA,FABIA COMBI 1.9SDI (64ch),MSK5014EJ147,6YSEASYX01FM5FM52T006MALLE,GO,4,47.0,M 5,6.3,4.1,4.9,132
SKODA,FABIA SEDAN 1.9SDI (64ch) Classic,MSK5012ER159,6YSTASYX01FM5FM52T006MALLE,GO,4,47.0,M 5,6.3,4.1,4.9,132
VOLKSWAGEN,GOLF PACK TDI (110ch),MVW54C1KV866,1JSCASVX01SGFM52J024L21N10GE,GO,6,81.0,M 5,6.5,4.0,4.9,132
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C1K9749,1JSCALHX01SGFM52J025L21N10GE,GO,5,66.0,M 5,6.5,4.1,4.9,132
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C1K8748,1JSCALHX01SGFM52J025L21NN0GE,GO,5,66.0,M 5,6.5,4.1,4.9,132
NISSAN,MICRA 3P 1.5D,MJN5011DS239,K11EE05,GO,4,42.0,M 5,6.4,4.2,5.0,133
NISSAN,MICRA 3P 1.5D,MJN5011DU241,K11EE07,GO,4,42.0,M 5,6.4,4.2,5.0,133
NISSAN,MICRA 3P 1.5L,MJN5011DQ237,K11EE01,GO,4,42.0,M 5,6.4,4.2,5.0,133
NISSAN,MICRA 5P 1.5D,MJN5012DY243,K11FF01,GO,4,42.0,M 5,6.4,4.2,5.0,133
NISSAN,MICRA 5P 1.5D,MJN5012D0245,K11FF05,GO,4,42.0,M 5,6.4,4.2,5.0,133
NISSAN,MICRA 5P 1.5D,MJN5012D2247,K11FF07,GO,4,42.0,M 5,6.4,4.2,5.0,133
FORD,FOCUS 4P 1.8TDdi,MFD5172S1973,DFWBHDA15HDBMS,GO,5,55.0,M 5,6.8,4.1,5.1,134
FORD,FOCUS BREAK 1.8TDdi,MFD5174SK018,DNWBHDA15HDBMU,GO,5,55.0,M 5,6.8,4.1,5.1,134
FORD,FOCUS BREAK 1.8TDdi,MFD5174SL019,DNWBHDA15HDBMV,GO,5,55.0,M 5,6.8,4.1,5.1,134
AUDI,A33P 1.9TDI (101ch),MAU5381G3936,8LLATDF1FM52J060R8L60T2L,GO,6,74.0,M 5,6.5,4.2,5.0,135
AUDI,A33P 1.9TDI (110ch),MAU5481GP681,8LLASVF1FM52J016R8L60T2M,GO,6,81.0,M 5,6.6,4.1,5.0,135
AUDI,A33P 1.9TDI (90ch),MAU5281GA881,8LLALHF1FM52J017R8L60T2M,GO,5,66.0,M 5,6.6,4.2,5.0,135
AUDI,A35P 1.9TDI (110ch),MAU5482GT684,8LLASVF1FM52J016R8L60T4M,GO,6,81.0,M 5,6.6,4.1,5.0,135
AUDI,A35P 1.9TDI (90ch),MAU5282GF884,8LLALHF1FM52J017R8L60T4M,GO,5,66.0,M 5,6.6,4.2,5.0,135
FORD,FOCUS 5P 1.8TDdi,MFD5172SY000,DAWBHDA15HDBMR,GO,5,55.0,M 5,6.8,4.1,5.1,135
FORD,FOCUS COUPE 1.8TDdi,MFD5161SY851,DBWBHDA15HDBMN,GO,5,55.0,M 5,6.8,4.1,5.1,135
SEAT,CORDOBA 2P TDI (90ch),MSE5211BA812,6KSTAGRX01SGFM52J0282L,GO,5,66.0,M 5,6.4,4.1,5.0,135
SEAT,CORDOBA 2P TDI (90ch),MSE5211B8070,6KSTALHX01SGFM52J0282L,GO,5,66.0,M 5,6.4,4.1,5.0,135
SEAT,CORDOBA TDI (110ch),MSE5412BJ095,6KSTASVX01SGFM52J0214M,GO,6,81.0,M 5,6.5,4.1,5.0,135
SEAT,CORDOBA TDI (90ch),MSE5212BD813,6KSTAGRX01SGFM52J0284L,GO,5,66.0,M 5,6.4,4.1,5.0,135
SEAT,CORDOBA TDI (90ch),MSE5212BB071,6KSTALHX01SGFM52J0284L,GO,5,66.0,M 5,6.4,4.1,5.0,135
SEAT,IBIZA 3P 1.9SDI,MSE5011GJ024,6KSCAQMX01SGFM52K0432K,GO,4,50.0,M 5,6.7,4.0,5.0,135
SEAT,IBIZA 3P TDI (90ch),MSE5211GB808,6KSCAGRX01SGFM52J0282L,GO,5,66.0,M 5,6.5,4.2,5.0,135
SEAT,IBIZA 3P TDI (90ch),MSE5211GK005,6KSCALHX01SGFM52J0282L,GO,5,66.0,M 5,6.4,4.1,5.0,135
SEAT,IBIZA 5P TDI (90ch),MSE5212GE809,6KSCAGRX01SGFM52J0284L,GO,5,66.0,M 5,6.5,4.2,5.0,135
SEAT,IBIZA 5P TDI (90ch),MSE5212GN006,6KSCALHX01SGFM52J0284L,GO,5,66.0,M 5,6.4,4.1,5.0,135
SEAT,LEON 1900 TDI (90ch),MSE5212KL654,1MABALHX01SGFM52J0251M1N1,GO,5,66.0,M 5,6.6,4.2,5.0,135
SEAT,LEON TDI (110ch),MSE5412KU704,1MABASVX01SGFM52J0241M1N1,GO,6,81.0,M 5,6.6,4.1,5.0,135
SEAT,LEON TDI (110ch),MSE5412KY999,1MABASVX01SGFM52J0661M1N1,GO,6,81.0,M 5,6.6,4.1,5.0,135
SEAT,TOLEDO TDI (110ch),MSE5412JP602,1MAAASVX01SGFM52J0241M1N1,GO,6,81.0,M 5,6.6,4.1,5.0,135
SEAT,TOLEDO TDI (110ch),MSE5412JQ967,1MAAASVX01SGFM52J0661M1N1,GO,6,81.0,M 5,6.6,4.1,5.0,135
SEAT,TOLEDO TDI (90ch),MSE5212JX570,1MAAALHX01SGFM52J0251M1N1,GO,5,66.0,M 5,6.6,4.2,5.0,135
SKODA,FABIA COMBI 1.9TDI (100ch),MSK5314EF149,6YSEATDX01FM5FM52R011MALLE,GO,6,74.0,M 5,6.5,4.1,5.0,135
SKODA,FABIA SEDAN 1.9TDI (100ch) Elegance,MSK5312EN161,6YSTATDX01FM5FM52R011MALLE,GO,6,74.0,M 5,6.5,4.1,5.0,135
SKODA,OCTAVIA 1.9TDI (110ch),MSK5412CQ059,1USTASVX01FM5FM52J024M,GO,6,81.0,M 5,6.6,4.1,5.0,135
SKODA,OCTAVIA 1.9TDI (90ch),MSK5212CW049,1USTALHX01FM5FM52J025M,GO,5,66.0,M 5,6.6,4.2,5.0,135
SKODA,OCTAVIA COMBI 1.9TDI (110ch),MSK5414CM015,1USEASVX01FM5FM52J024M,GO,6,81.0,M 5,6.6,4.1,5.0,135
SKODA,OCTAVIA COMBI 1.9TDI (90ch),MSK5214CU007,1USEALHX01FM5FM52J025M,GO,5,66.0,M 5,6.6,4.2,5.0,135
VOLKSWAGEN,BORA PACK TDI (110ch),MVW54D2SL324,1JSTASVX01SGFM52J024M41N10GE,GO,6,81.0,M 5,6.6,4.1,5.0,135
VOLKSWAGEN,GOLF BREAK TDI (110ch),MVW54D4K1150,1JSEASVX01SGFM52J024M41N10GE,GO,6,81.0,M 5,6.6,4.1,5.0,135
VOLKSWAGEN,GOLF BREAK TDI (90ch),MVW52D4KK099,1JSEALHX01SGFM52J025M41N10GE,GO,5,66.0,M 5,6.6,4.2,5.0,135
VOLKSWAGEN,GOLF BREAK TDI (90ch),MVW52D4KJ098,1JSEALHX01SGFM52J025M41NN0GE,GO,5,66.0,M 5,6.6,4.2,5.0,135
VOLKSWAGEN,GOLF PACK TDI (110ch),MVW54C1KX868,1JSCASVX01SGFM52J024M21N10GE,GO,6,81.0,M 5,6.6,4.1,5.0,135
VOLKSWAGEN,GOLF PACK TDI (110ch),MVW54C2K1870,1JSCASVX01SGFM52J024M41N10GE,GO,6,81.0,M 5,6.6,4.1,5.0,135
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C1KB751,1JSCALHX01SGFM52J025M21N10GE,GO,5,66.0,M 5,6.6,4.2,5.0,135
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C1KA750,1JSCALHX01SGFM52J025M21NN0GE,GO,5,66.0,M 5,6.6,4.2,5.0,135
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C2KF753,1JSCALHX01SGFM52J025M41N10GE,GO,5,66.0,M 5,6.6,4.2,5.0,135
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C2KE752,1JSCALHX01SGFM52J025M41NN0GE,GO,5,66.0,M 5,6.6,4.2,5.0,135
FORD,FIESTA 3P 1.8TDdi,MFD5161C2677,JBSRTN15A01,GO,5,55.0,M 5,6.5,4.2,5.0,136
FORD,FIESTA 5P 1.8TDdi,MFD5162CM720,JASRTN15A01,GO,5,55.0,M 5,6.5,4.2,5.0,136
FORD,FOCUS 4P 1.8TDdi,MFD5172S2974,DFWBHDA15HDDMS,GO,5,55.0,M 5,6.8,4.2,5.2,136
MAZDA,1215P 1.8DiTD,MJZ5112BJ279,JASMRTN15A01,GO,5,55.0,M 5,6.5,4.2,5.0,136
PEUGEOT,2063P 2.0HDi,MPE5201K1546,2CRHYF,GO,5,66.0,M 5,6.6,4.1,5.0,136
PEUGEOT,2065P 2.0HDi,MPE5202K2545,2ARHYF,GO,5,66.0,M 5,6.6,4.1,5.0,136
FORD,FOCUS 5P 1.8TDdi,MFD5172SZ001,DAWBHDA15HDDMR,GO,5,55.0,M 5,6.8,4.2,5.2,137
FORD,FOCUS BREAK 1.8TDdi,MFD5174SM020,DNWBHDA15HDDMU,GO,5,55.0,M 5,6.8,4.2,5.2,137
FORD,FOCUS BREAK 1.8TDdi,MFD5174SN021,DNWBHDA15HDDMV,GO,5,55.0,M 5,6.8,4.2,5.2,137
FORD,FOCUS COUPE 1.8TDdi,MFD5161SZ852,DBWBHDA15HDDMN,GO,5,55.0,M 5,6.8,4.2,5.2,137
AUDI,A33P 1.9TDI (101ch),MAU5381G4937,8LLATDF1FM52J060R8L60T2M,GO,6,74.0,M 5,6.6,4.3,5.1,138
AUDI,A35P 1.9TDI (101ch),MAU5382G9940,8LLATDF1FM52J060R8L60T4M,GO,6,74.0,M 5,6.6,4.3,5.1,138
CITROEN,SAXO 3P 1.5D,MCT5001BL534,S0VJXB,GO,4,42.0,M 5,6.8,4.3,5.2,138
CITROEN,SAXO 5P 1.5D,MCT5002BP535,S1VJXB,GO,4,42.0,M 5,6.8,4.3,5.2,138
CITROEN,XSARA 3P 2.0HDi,MCT5301GP636,N0RHZB,GO,6,80.0,M 5,7.0,4.2,5.2,138
CITROEN,XSARA 5P 2.0HDi,MCT5302GT638,N1RHZB,GO,6,80.0,M 5,7.0,4.2,5.2,138
PEUGEOT,1063P 1.5D,MPE5001BR662,1CVJXF,GO,4,42.0,M 5,6.8,4.3,5.2,138
PEUGEOT,1065P 1.5D,MPE5002BU663,1AVJXF,GO,4,42.0,M 5,6.8,4.3,5.2,138
PEUGEOT,3073P 2.0HDi,MPE5201MS729,3ARHYB,GO,5,66.0,M 5,6.9,4.3,5.2,138
PEUGEOT,3073P 2.0HDi FAP,MPE5301M8771,3ARHSB,GO,6,79.0,M 5,7.0,4.2,5.2,138
PEUGEOT,3075P 2.0HDi,MPE5202MV730,3CRHYB,GO,5,66.0,M 5,6.9,4.3,5.2,138
PEUGEOT,3075P 2.0HDi FAP,MPE5302MB772,3CRHSB,GO,6,79.0,M 5,7.0,4.2,5.2,138
SEAT,CORDOBA SDI,MSE5012B6086,6KSTAQMX01SGFM52K0434L,GO,4,50.0,M 5,6.8,4.1,5.1,138
SEAT,CORDOBA VARIO TDI (110ch),MSE5414HS058,6KSEASVX01SGFM52J0214M,GO,6,81.0,M 5,6.6,4.2,5.1,138
SEAT,IBIZA 3P 1.9SDI,MSE5011GL026,6KSCAQMX01SGFM52K0432L,GO,4,50.0,M 5,6.8,4.1,5.1,138
SEAT,IBIZA 5P 1.9SDI,MSE5012GP027,6KSCAQMX01SGFM52K0434L,GO,4,50.0,M 5,6.8,4.1,5.1,138
VOLKSWAGEN,BORA TDI (100ch),MVW53D2SK360,1JSTATDX01SGFM52J060M41N10GE,GO,6,74.0,M 5,6.6,4.3,5.1,138
VOLKSWAGEN,BORA TDI (115ch),MVW54D2SA252,1JSTAJMX01SGFM62M001M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,BORA TDI (115ch),MVW54G2SE023,1JSTAJMX01SGFM62M005M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,BORA TDI (115ch),MVW54D2SY398,1JSTAUYX01SGFM62M001M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,BORA TDI (115ch),MVW54G2SG061,1JSTAUYX01SGFM62M005M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF SDI,MVW50C1KG758,1JSCAQMX01SGFM52K036L21N10GE,GO,4,50.0,M 5,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF SDI,MVW50C2KJ759,1JSCAQMX01SGFM52K036L41N10GE,GO,4,50.0,M 5,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (100ch),MVW53C1KZ932,1JSCATDX01SGFM52J060M21N10GE,GO,6,74.0,M 5,6.6,4.3,5.1,138
VOLKSWAGEN,GOLF TDI (100ch),MVW53C2K3934,1JSCATDX01SGFM52J060M41N10GE,GO,6,74.0,M 5,6.6,4.3,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54C1KL723,1JSCAJMX01SGFM62M001M21N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54C2KP725,1JSCAJMX01SGFM62M001M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54F1KW792,1JSCAJMX01SGFM62M005M21N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54F2K0794,1JSCAJMX01SGFM62M005M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54D1KJ005,1JSCAUYX01SGFM62M001M21N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54D2KN007,1JSCAUYX01SGFM62M001M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54F1KW864,1JSCAUYX01SGFM62M005M21N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
VOLKSWAGEN,GOLF TDI (115ch),MVW54F2K0866,1JSCAUYX01SGFM62M005M41N10GE,GO,6,85.0,M 6,6.9,4.2,5.1,138
MERCEDES-BENZ,A 170 CDI,MMB52C2PZ796,168M209F2HCAAAA0,GO,6,70.0,M 5,6.8,4.4,5.2,139
MERCEDES-BENZ,A 170 CDI,MMB52C2P0797,168M209F2HCAABA0,GO,6,70.0,M 5,6.8,4.4,5.2,139
MERCEDES-BENZ,A 170 CDI FAMILY,MMB52C2PD810,168M709F2HCAAAA0,GO,6,70.0,M 5,6.8,4.4,5.2,139
MERCEDES-BENZ,A 170 CDI FAMILY,MMB52C2PE811,168M709F2HCAABA0,GO,6,70.0,M 5,6.8,4.4,5.2,139
RENAULT,CLIO 3P 1.9dTi CLIM,MRE5101E3912,CB0V0F,GO,5,59.0,M 5,6.7,4.3,5.2,139
RENAULT,CLIO 5P 1.9dTi CLIM,MRE5102E4911,BB0V0F,GO,5,59.0,M 5,6.7,4.3,5.2,139
RENAULT,MEGANE BERLINE 1.9dCi,MRE5302AR785,BA0505,GO,6,75.0,M 5,6.8,4.4,5.2,139
RENAULT,MEGANE CLASSIC 1.9dCi,MRE5302AP782,LA0505,GO,6,75.0,M 5,6.8,4.4,5.2,139
RENAULT,MEGANE COUPE 1.9dCi,MRE5301AT789,DA0505,GO,6,75.0,M 5,6.8,4.4,5.2,139
AUDI,A33P 1.9TDI (130ch) BV6,MAU5581GM705,8LLASZF1FM62M001R8L60T2M,GO,7,96.0,M 6,7.0,4.3,5.2,140
AUDI,A35P 1.9TDI (130ch) BV6,MAU5582GR708,8LLASZF1FM62M001R8L60T4M,GO,7,96.0,M 6,7.0,4.3,5.2,140
FIAT,STILO 3P 1.9JTD (115ch),MFT5411VF084,192AXE1A08,GO,6,85.0,M 5,7.2,4.2,5.3,140
NISSAN,MICRA 3P 1.5D,MJN5011DR238,K11EE02,GO,4,42.0,M 5,6.8,4.3,5.2,140
NISSAN,MICRA 3P 1.5D,MJN5011DT240,K11EE06,GO,4,42.0,M 5,6.8,4.3,5.2,140
NISSAN,MICRA 3P 1.5D,MJN5011DV242,K11EE08,GO,4,42.0,M 5,6.8,4.3,5.2,140
NISSAN,MICRA 5P 1.5D,MJN5012DZ244,K11FF02,GO,4,42.0,M 5,6.8,4.3,5.2,140
NISSAN,MICRA 5P 1.5D,MJN5012D1246,K11FF06,GO,4,42.0,M 5,6.8,4.3,5.2,140
NISSAN,MICRA 5P 1.5D,MJN5012D3248,K11FF08,GO,4,42.0,M 5,6.8,4.3,5.2,140
SEAT,CORDOBA VARIO SDI,MSE5014HL055,6KSEAQMX01SGFM52K0434L,GO,5,50.0,M 5,6.9,4.2,5.2,140
SEAT,CORDOBA VARIO TDI (90ch),MSE5214HL811,6KSEAGRX01SGFM52J0284M,GO,5,66.0,M 5,6.6,4.3,5.2,140
SEAT,CORDOBA VARIO TDI (90ch),MSE5214HX047,6KSEALHX01SGFM52J0284M,GO,5,66.0,M 5,6.6,4.3,5.2,140
SEAT,LEON 1900 SDI,MSE5012K6756,1MABAQMX01SGFM52K0361L1N1,GO,5,50.0,M 5,7.0,4.3,5.2,140
SEAT,LEON TDI (110ch),MSE5412KW706,1MABASVX01SGFM52J0241N1N1,GO,6,81.0,M 5,6.8,4.3,5.2,140
SEAT,TOLEDO TDI (110ch),MSE5412JQ604,1MAAASVX01SGFM52J0241N1N1,GO,6,81.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,BORA PACK TDI (110ch),MVW54D2SN326,1JSTASVX01SGFM52J024N41N10GE,GO,6,81.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,BORA TDI (100ch),MVW53G2SR073,1JSTAXRX01SGFM52J060M41N10GR,GO,6,74.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,BORA TDI (130ch),MVW55D2SU332,1JSTASZX01SGFM62M001M41N10GE,GO,7,96.0,M 6,7.0,4.3,5.2,140
VOLKSWAGEN,BORA TDI (130ch),MVW55D2S0338,1JSTASZX01SGFM62M005M41N10GE,GO,7,96.0,M 6,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF BREAK SDI,MVW50D4KN104,1JSEAQMX01SGFM52K036M41N10GE,GO,5,50.0,M 5,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF BREAK TDI (110ch),MVW54D4K3152,1JSEASVX01SGFM52J024N41N10GE,GO,6,81.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF BREAK TDI (90ch),MVW52D4KM101,1JSEALHX01SGFM52J025N41N10GE,GO,5,66.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF BREAK TDI (90ch),MVW52D4KL100,1JSEALHX01SGFM52J025N41NN0GE,GO,5,66.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF PACK TDI (110ch),MVW54C1K1872,1JSCASVX01SGFM52J024N21N10GE,GO,6,81.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF PACK TDI (110ch),MVW54C2KG874,1JSCASVX01SGFM52J024N41N10GE,GO,6,81.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C1KF755,1JSCALHX01SGFM52J025N21N10GE,GO,5,66.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C1KE754,1JSCALHX01SGFM52J025N21NN0GE,GO,5,66.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C2KJ757,1JSCALHX01SGFM52J025N41N10GE,GO,5,66.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF PACK TDI (90ch),MVW52C2KJ756,1JSCALHX01SGFM52J025N41NN0GE,GO,5,66.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF SDI,MVW50C1KJ760,1JSCAQMX01SGFM52K036M21N10GE,GO,5,50.0,M 5,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF SDI,MVW50C2KL761,1JSCAQMX01SGFM52K036M41N10GE,GO,5,50.0,M 5,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF TDI (100ch),MVW53F1KP882,1JSCAXRX01SGFM52J060M21N10GR,GO,6,74.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF TDI (100ch),MVW53F2KS884,1JSCAXRX01SGFM52J060M41N10GR,GO,6,74.0,M 5,6.8,4.3,5.2,140
VOLKSWAGEN,GOLF TDI (130ch),MVW55C1KR886,1JSCASZX01SGFM62M001M21N10GE,GO,7,96.0,M 6,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF TDI (130ch),MVW55C2KV888,1JSCASZX01SGFM62M001M41N10GE,GO,7,96.0,M 6,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF TDI (130ch),MVW55C1KZ894,1JSCASZX01SGFM62M005M21N10GE,GO,7,96.0,M 6,7.0,4.3,5.2,140
VOLKSWAGEN,GOLF TDI (130ch),MVW55C2K3896,1JSCASZX01SGFM62M005M41N10GE,GO,7,96.0,M 6,7.0,4.3,5.2,140
VOLKSWAGEN,NEWBEETLE TDI (90ch),MVW52D1TP488,9CSCALHX01SGFM52J025M41N1,GO,5,66.0,M 5,6.8,4.3,5.2,140
CITROEN,XSARA 3P 2.0HDi,MCT5201GQ550,N0RHYB,GO,5,66.0,M 5,7.3,4.2,5.4,141
CITROEN,XSARA 5P 2.0HDi,MCT5202GT551,N1RHYB,GO,5,66.0,M 5,7.3,4.2,5.4,141
CITROEN,XSARA BREAK 2.0HDi,MCT5304GZ640,N2RHZB,GO,6,80.0,M 5,7.1,4.3,5.3,141
PEUGEOT,3063P 2.0HDi,MPE5201DZ709,7CRHYF,GO,5,66.0,M 5,7.2,4.3,5.4,141
PEUGEOT,3064P 2.0HDi,MPE5202D0708,7BRHYF,GO,5,66.0,M 5,7.2,4.3,5.4,141
PEUGEOT,3065P 2.0HDi,MPE5202DZ707,7ARHYF,GO,5,66.0,M 5,7.2,4.3,5.4,141
PEUGEOT,306BREAK 2.0HDi,MPE5204D6710,7ERHYF,GO,5,66.0,M 5,7.2,4.3,5.4,141
FORD,FOCUS 4P 1.8TDdi,MFD5272SD720,DFWC9DB15KFBMS,GO,5,66.0,M 5,7.2,4.4,5.4,142
FORD,FOCUS 4P 1.8TDdi,MFD5472SX975,DFWF9DA15PFBMX,GO,6,85.0,M 5,7.2,4.4,5.4,142
VOLVO,S401.9D (103ch),MVV5302F3645,VS7882,GO,6,75.0,M 5,7.4,4.3,5.4,142
VOLVO,S401.9D (115ch),MVV5402FC644,VS7082,GO,6,85.0,M 5,7.4,4.3,5.4,142
VOLVO,V401.9D (103ch),MVV5304HX633,VW7882,GO,6,75.0,M 5,7.4,4.3,5.4,142
VOLVO,V401.9D (115ch),MVV5404H6632,VW7082,GO,6,85.0,M 5,7.4,4.3,5.4,142
FIAT,BRAVO JTD,MFT5301JX987,182AV1AA29,GO,6,74.0,M 5,7.2,4.4,5.4,143
