marques,modele,typ._mines,cnit,carb,cv,puiss.,bv,urbain,ex.urb,mixte,co2
VOLKSWAGEN,MULTIVAN TDI (102ch) SYNCRO,MVW6374QJ926,7DBACVMNX1N1P00J2SGAM52G004S,GO,9,75.0,M 5,13.6,8.0,9.8,265
VOLKSWAGEN,MULTIVAN TDI (102ch) SYNCRO,MVW63E4QW041,7DBAXLMNX1N1P00J2SGAM52G004S,GO,9,75.0,M 5,13.4,8.0,9.8,265
DAEWOO,KORANDO 2.9 SELTD,MDW6403HS616,KJH0M31BL2?1D,GO,9,88.0,M 5,12.8,8.0,9.8,266
DAEWOO,KORANDO 2.9 SELTD,MDW6403HA670,KJS0M31BL4?1D,GO,9,88.0,M 5,12.8,8.0,9.8,266
DAEWOO,KORANDO 2.9 SELTD,MDW6403HB671,KJS0M31BM4?1D,GO,9,88.0,M 5,12.8,8.0,9.8,266
SSANGYONG,KORANDO 2.9 SELTD,MSS6403BR498,KJH0M31BL2?1D,GO,9,88.0,M 5,12.8,8.0,9.8,266
SSANGYONG,KORANDO 2.9 SELTD CAB,MSS6403B9552,KJS0M31BL4?1D,GO,9,88.0,M 5,12.8,8.0,9.8,266
SSANGYONG,KORANDO 2.9 SELTD CAB,MSS6403BA553,KJS0M31BM4?1D,GO,9,88.0,M 5,12.8,8.0,9.8,266
OPEL,MOVANO COMBI 2.8DTI,MPL5443LK917,J9AFD5,GO,9,84.0,M 5,12.7,8.6,10.1,268
VOLKSWAGEN,CARAVELLE LONGUE TDI (102ch) SYNCRO,MVW6374PV806,7DBACVBNX1L1P00J2SGAM52G004T,GO,9,75.0,M 5,13.8,8.2,10.0,270
VOLKSWAGEN,CARAVELLE LONGUE TDI (102ch) SYNCRO,MVW63D4P0981,7DBAXLBNX1L1P00J2SGAM52G004T,GO,9,75.0,M 5,13.6,8.2,10.0,270
VOLKSWAGEN,COMBI LONG SURLV TDI (102ch) SYNCRO,MVW63D4F6997,7DBAXLKHX1L1P00J2SGAM52G004R,GO,9,75.0,M 5,13.7,8.3,10.0,270
VOLKSWAGEN,COMBI LONG SURLV TDI (102ch) SYNCRO,MVW63D4F7998,7DBAXLKHX1L1P00J2SGAM52G004S,GO,9,75.0,M 5,13.7,8.3,10.0,270
VOLKSWAGEN,COMBI LONG SURLV TDI (102ch) SYNCRO,MVW6374FA831,7DBACVKHX1L1P00J2SGAM52G004R,GO,9,75.0,M 5,13.9,8.3,10.0,270
VOLKSWAGEN,COMBI LONG SURLV TDI (102ch) SYNCRO,MVW6374FB832,7DBACVKHX1L1P00J2SGAM52G004S,GO,9,75.0,M 5,13.9,8.3,10.0,270
VOLKSWAGEN,COMBI LONG TDI (102ch) SYNCRO,MVW6374F3885,7DBACVKNX1L1P00J2SGAM52G004T,GO,9,75.0,M 5,13.8,8.2,10.0,270
VOLKSWAGEN,COMBI LONG TDI (102ch) SYNCRO,MVW63E4FV015,7DBAXLKNX1L1P00J2SGAM52G004T,GO,9,75.0,M 5,13.6,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TDI (102ch) SYNCRO,MVW6374QK927,7DBACVMNX1N1P00J2SGAM52G004T,GO,9,75.0,M 5,13.8,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TDI (102ch) SYNCRO,MVW63A4QZ181,7DBACVMNX1N1P00J2SGAM52G004U,GO,9,75.0,M 5,13.8,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TDI (102ch) SYNCRO,MVW63E4QX042,7DBAXLMNX1N1P00J2SGAM52G004T,GO,9,75.0,M 5,13.6,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TDI (102ch) SYNCRO,MVW63E4QY043,7DBAXLMNX1N1P00J2SGAM52G004U,GO,9,75.0,M 5,13.6,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TOIT RELEVABLE TDI (102ch) SYNCRO,MVW63E4QU039,7DBAXLMAX1N1P00J2SGAM52G004T,GO,9,75.0,M 5,13.6,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TOIT RELEVABLE TDI (102ch) SYNCRO,MVW63E4QV040,7DBAXLMAX1N1P00J2SGAM52G004U,GO,9,75.0,M 5,13.6,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TOIT RELEVABLE TDI (102ch) SYNCRO,MVW6374Q4911,7DBACVMAX1N1P00J2SGAM52G004T,GO,9,75.0,M 5,13.8,8.2,10.0,270
VOLKSWAGEN,MULTIVAN TOIT RELEVABLE TDI (102ch) SYNCRO,MVW6374Q5912,7DBACVMAX1N1P00J2SGAM52G004U,GO,9,75.0,M 5,13.8,8.2,10.0,270
HYUNDAI,TERRACAN 2.5L TD Intercooler GL,MHY6314RK437,HPW2JO,GO,9,73.6,M 5,13.1,8.7,10.3,274
SSANGYONG,MUSSO 2.3 SLTD BVA,MSS8304AD426,FJWC21L1FLFFL,GO,9,74.0,A 4,12.1,8.9,10.0,274
MITSUBISHI,MONTERO COURT 2.5TD,MJM6411GS072,V20VE21S55AAN665,GO,9,85.0,M 5,12.8,9.0,10.4,275
VOLKSWAGEN,COMBI LONG SURLV TDI (102ch) SYNCRO,MVW63D4F8999,7DBAXLKHX1L1P00J2SGAM52G004T,GO,9,75.0,M 5,13.9,8.5,10.2,275
VOLKSWAGEN,COMBI LONG SURLV TDI (102ch) SYNCRO,MVW6374FC833,7DBACVKHX1L1P00J2SGAM52G004T,GO,9,75.0,M 5,14.1,8.5,10.2,275
ISUZU,TROOPER Aventure ou Duty 2P,MJU6704AD189,UBS73WS1DMAJ099BAA4,GO,12,117.0,M 5,13.6,8.7,10.5,278
ISUZU,TROOPER Aventure ou Duty 4P,MJU6704AV171,UBS73WS1GMAJ081AAA5,GO,12,117.0,M 5,13.6,8.7,10.5,278
ISUZU,TROOPER Aventure ou Duty 4P 7PL,MJU6704A3179,UBS73WS1GMAJ089AAA7,GO,12,117.0,M 5,13.6,8.7,10.5,278
ISUZU,TROOPER Citation 2P,MJU6704AG192,UBS73WS1DMAJ102BAA4,GO,12,117.0,M 5,13.6,8.7,10.5,278
ISUZU,TROOPER Citation 4P 5PL,MJU6704AY174,UBS73WS1GMAJ084AAA5,GO,12,117.0,M 5,13.6,8.7,10.5,278
ISUZU,TROOPER Citation 4P 7PL,MJU6704A4180,UBS73WS1GMAJ090AAA7,GO,12,117.0,M 5,13.6,8.7,10.5,278
MITSUBISHI,PAJERO COURT 3.2DI-D BVA,MJM8713G4044,V60V6321SEEABA135,GO,12,118.0,A 5,13.3,8.8,10.5,278
MITSUBISHI,PAJERO COURT 3.2DI-D BVA EXCEED,MJM8713G6046,V60V6321SFFABA135,GO,12,118.0,A 5,13.3,8.8,10.5,278
MITSUBISHI,PAJERO LONG 3.2DI-D BVA,MJM8713GZ039,V60V6321LOOCDA137,GO,12,118.0,A 5,13.3,8.8,10.5,278
MITSUBISHI,PAJERO LONG 3.2DI-D BVA EXCEED,MJM8713G1041,V60V6321LPPCDA137,GO,12,118.0,A 5,13.3,8.8,10.5,278
MITSUBISHI,PAJERO SPORT 2.5TD,MJM6412GX075,K90KN4217DDDD5645,GO,10,85.0,M 5,13.1,9.0,10.5,278
NISSAN,TERRANO COURT 2.7TDi BVA,MJN8514JJ098,R20CC5,GO,10,92.0,A 4,12.9,9.2,10.6,279
TOYOTA,LAND CRUISER 3P 3.0TD4D BVA,MJT8724KT152,J9KDJ90(W)KDJ90L-GJPNYW(2E),GO,12,120.0,A 4,12.8,9.0,10.4,279
TOYOTA,LAND CRUISER 5P 3.0TD4D 8PL BVA,MJT8724K4163,J9KDJ95(W)KDJ95L-GKPNYW(4E),GO,12,120.0,A 4,12.8,9.0,10.4,279
TOYOTA,LAND CRUISER 5P 3.0TD4D BVA,MJT8724K2161,J9KDJ95(W)KDJ95L-GKPNYW(2E),GO,12,120.0,A 4,12.8,9.0,10.4,279
MITSUBISHI,MONTERO LONG 2.5TD,MJM6412GS070,V20VE21L77EBN667,GO,10,85.0,M 5,13.0,9.2,10.6,281
MITSUBISHI,PAJERO COURT 2.5TD,MJM6413GU034,V60V6221SBBAAS535,GO,10,85.0,M 5,13.3,9.1,10.6,281
LAND ROVER,DEFENDER 90 STATION WAGON 6PL,MLD6404C6284,LDB8018,GO,10,90.0,M 5,12.1,9.0,10.1,282
LAND ROVER,DEFENDER 90 STATION WAGON 7PL,MLD6404C8286,LDB8028,GO,10,90.0,M 5,12.1,9.0,10.1,282
NISSAN,TERRANO LONG 2.7TDi BVA,MJN8514JM101,R20DD5,GO,10,92.0,A 4,13.1,9.3,10.7,283
LAND ROVER,DISCOVERY SEVEN Td5 BVA,MLD8604AW214,LTM9034,GO,11,101.5,A 4,12.7,9.0,10.3,284
LAND ROVER,DISCOVERY Td5 BVA,MLD8604A2220,LTM9014,GO,11,101.5,A 4,12.7,9.0,10.3,284
LAND ROVER,DISCOVERY Td5 BVA avec SLS,MLD8604A4222,LTM9024,GO,11,101.5,A 4,12.7,9.0,10.3,284
MERCEDES-BENZ,G 290 TD BREAK COURT BVA,MMB8424NS736,461D21AA1PCAA252,GO,10,88.0,A 4,12.0,10.0,10.7,284
MERCEDES-BENZ,G 290 TD BREAK LONG 7PL BVA,MMB8424N6847,461D71AA1PCAA272,GO,10,88.0,A 4,12.0,10.0,10.7,284
MERCEDES-BENZ,G 290 TD BREAK LONG BVA,MMB8424NS772,461D71AA1PCAA252,GO,10,88.0,A 4,12.0,10.0,10.7,284
TOYOTA,HIACE 2.4TD 9PL,MJT5216FQ138,H1LXH12X(V)LXH12L-RGMDXW(2F),GO,9,66.0,M 5,13.4,9.2,10.7,284
MITSUBISHI,PAJERO LONG 2.5TD,MJM6413GR031,V60V6221LJJBCS537,GO,10,85.0,M 5,13.4,9.2,10.8,285
ISUZU,TROOPER Aventure ou Duty 2P,MJU6704AV099,UBS73WS1DMAJ099BAA4,GO,12,117.0,M 5,14.0,9.0,10.9,287
ISUZU,TROOPER Aventure ou Duty 4P,MJU6704A2081,UBS73WS1GMAJ081AAA5,GO,12,117.0,M 5,14.0,9.0,10.9,287
ISUZU,TROOPER Aventure ou Duty 4P 7PL,MJU6704AA089,UBS73WS1GMAJ089AAA7,GO,12,117.0,M 5,14.0,9.0,10.9,287
ISUZU,TROOPER Citation 2P,MJU6704AY102,UBS73WS1DMAJ102BAA4,GO,12,117.0,M 5,14.0,9.0,10.9,287
ISUZU,TROOPER Citation 4P 5PL,MJU6704A5084,UBS73WS1GMAJ084AAA5,GO,12,117.0,M 5,14.0,9.0,10.9,287
ISUZU,TROOPER Citation 4P 7PL,MJU6704AB090,UBS73WS1GMAJ090AAA7,GO,12,117.0,M 5,14.0,9.0,10.9,287
NISSAN,PATROL COURT 3.0L Di BVA,MJN8711LX168,Y61DD05,GO,12,116.0,A 4,13.9,9.0,10.8,287
NISSAN,PATROL COURT 3.0L Di BVA,MJN8711LY169,Y61DD06,GO,12,116.0,A 4,13.9,9.0,10.8,287
NISSAN,PATROL LONG 3.0L Di BVA,MJN8714LX162,Y61CC15,GO,12,116.0,A 4,13.9,9.0,10.8,287
NISSAN,PATROL LONG 3.0L Di BVA,MJN8714LY163,Y61CC16,GO,12,116.0,A 4,13.9,9.0,10.8,287
OPEL,MOVANO COMBI 2.8DTI,MPL5443LL918,J9AFH5,GO,10,84.0,M 5,13.8,9.1,10.8,287
OPEL,MOVANO COMBI 2.8DTI,MPL5443LM919,J9CFH5,GO,10,84.0,M 5,13.8,9.1,10.8,287
HYUNDAI,GALLOPER 3P 2.5L TD Intercooler GL,MHY6301F8965,JK-T01H221L1BGMB1A1,GO,9,73.4,M 5,13.6,9.3,10.9,288
HYUNDAI,GALLOPER 3P 2.5L TD Intercooler GLX,MHY6301F9966,JK-T01H221L1BGMB1A2,GO,9,73.4,M 5,13.6,9.3,10.9,288
HYUNDAI,GALLOPER 5P 2.5L TD Intercooler GL,MHY6304FX973,JK-T01H221L2BHMB2B1,GO,9,73.4,M 5,13.6,9.3,10.9,288
HYUNDAI,GALLOPER 5P 2.5L TD Intercooler GLX,MHY6304FY974,JK-T01H221L2BHMB2B2,GO,9,73.4,M 5,13.6,9.3,10.9,288
NISSAN,PATROL COURT 3.0L Di,MJN6711LP166,Y61DD03,GO,12,116.0,M 5,14.3,8.8,10.8,288
NISSAN,PATROL COURT 3.0L Di,MJN6711LQ167,Y61DD04,GO,12,116.0,M 5,14.3,8.8,10.8,288
NISSAN,PATROL LONG 3.0L Di,MJN6714LJ154,Y61CC07,GO,12,116.0,M 5,14.3,8.8,10.8,288
NISSAN,PATROL LONG 3.0L Di,MJN6714LK155,Y61CC08,GO,12,116.0,M 5,14.3,8.8,10.8,288
ISUZU,TROOPER Citation 2P BVA,MJU8704AN218,UBS73WS1DTAJ128BAA4,GO,12,117.0,A 4,14.0,9.1,10.9,289
ISUZU,TROOPER Citation 4P 7PL BVA,MJU8704AB206,UBS73WS1GTAJ116AAA7,GO,12,117.0,A 4,14.0,9.1,10.9,289
