marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(+)
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD39,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD48,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD49,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD57,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD58,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD66,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPD67,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE29,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE38,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE47,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE48,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE56,9,80.0,M 6,12.8,8.4,10.0,266.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE57,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE83,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
