marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(+)
SMART,SMART FORTWO COUPE ELECTRIC,M10SMTVP000E039,5,,M 1,,,,,EL,A,-5000
SMART,SMART FORTWO Cabrio ELECTRIC,M10SMTVP000F040,5,,M 1,,,,,EL,A,-5000
ALFA-ROMEO,MiTo 1.4 MPI (105ch) MultiAir,M10ALFVP0002035,6,77.0,M 6,7.6,4.8,5.8,136.0,ES,C,-
ALFA-ROMEO,GT COUPE 2.0L JTS,M10ALFVP0002132,11,122.0,M 5,12.2,6.7,8.7,207.0,ES,F,+ 1600
ALFA-ROMEO,GT COUPE 2.0L JTS,M10ALFVP0003133,11,122.0,M 5,12.2,6.7,8.7,207.0,ES,F,+ 1600
ALFA-ROMEO,MiTo 1.4 TB (135ch)  MultiAir,M10ALFVP0004037,7,99.0,M 5,7.4,4.5,5.6,129.0,ES,C,-
ALFA-ROMEO,ALFA 8C SPIDER,M10ALFVP0006039,38,331.0,M 6,24.4,11.6,16.3,379.0,ES,G,+ 2600
ALFA-ROMEO,GT 1.8L,M10ALFVP000K150,9,103.0,M 5,12.1,6.4,8.5,202.0,ES,F,+ 1600
ALFA-ROMEO,GT 1.8L,M10ALFVP000L151,9,103.0,M 5,12.1,6.4,8.5,202.0,ES,F,+ 1600
ALFA-ROMEO,147 1.6L TS (105ch),M10ALFVP000M091,7,77.0,M 5,11.3,6.4,8.2,196.0,ES,E,+ 1600
ALFA-ROMEO,147 1.6L TS (120ch),M10ALFVP000P093,8,88.0,M 5,11.2,6.4,8.2,194.0,ES,E,+ 750
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP0007002,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP0008003,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP0009004,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP000A005,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000B006,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000C007,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000D008,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000E009,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000F010,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000G011,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000H012,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BREAK BVA7,M10AMGVP000J013,44,386.0,A 7,18.8,9.3,12.8,299.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP000J014,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP000K015,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP000L016,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,E 63 AMG BERLINE BVA7,M10AMGVP000M017,44,386.0,A 7,18.7,9.1,12.6,295.0,ES,G,+ 2600
MERCEDES AMG,C63 AMG,M10AMGVP000N018,37,336.0,A 7,20.9,9.2,13.4,319.0,ES,G,+ 2600
MERCEDES AMG,C63 AMG,M10AMGVP000P019,43,373.0,A 7,21.1,9.5,13.7,326.0,ES,G,+ 2600
MERCEDES AMG,C63 AMG,M10AMGVP000P020,40,358.0,A 7,20.9,9.2,13.4,319.0,ES,G,+ 2600
MERCEDES AMG,C63 AMG,M10AMGVP000R021,37,336.0,A 7,21.1,9.5,13.7,326.0,ES,G,+ 2600
MERCEDES AMG,C63 AMG,M10AMGVP000R022,43,373.0,A 7,21.3,9.7,13.9,331.0,ES,G,+ 2600
MERCEDES AMG,C63 AMG,M10AMGVP000S023,41,358.0,A 7,21.1,9.5,13.7,326.0,ES,G,+ 2600
MERCEDES AMG,SLS,M10AMGVP000U025,50,420.0,A 7,19.9,9.3,13.2,308.0,ES,G,+ 2600
AUDI,A4 AVANT 2.0 TFSI (211ch),M10AUDVP0000256,12,155.0,M 6,8.4,5.6,6.6,154.0,ES,D,-
AUDI,A5 CABRIOLET 1.8 TFSI (160ch),M10AUDVP0000414,9,118.0,M 6,10.0,5.9,7.4,172.0,ES,E,+ 750
AUDI,A3 1.8 TFSI (160ch) S TRONIC,M10AUDVP0000608,9,118.0,A 7,8.5,5.2,6.5,149.0,ES,D,-
AUDI,A4 AVANT 2.0 TFSI (211ch)  QUATTRO S TRONIC,M10AUDVP0001257,13,155.0,A 7,9.4,6.5,7.6,175.0,ES,E,+ 750
AUDI,A5 CABRIOLET 1.8 TFSI (160ch),M10AUDVP0001415,9,118.0,M 6,10.0,5.9,7.4,172.0,ES,E,+ 750
AUDI,A4 2.0 TFSI (180ch),M10AUDVP0001512,10,132.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A3 1.8 TFSI (160ch),M10AUDVP0001609,9,118.0,M 6,8.7,5.3,6.6,152.0,ES,D,-
AUDI,A4 AVANT 2.0 TFSI (211ch) QUATTRO  S TRONIC,M10AUDVP0002258,13,155.0,A 7,9.4,6.5,7.6,175.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP0002416,11,132.0,V 0,9.9,6.0,7.4,174.0,ES,E,+ 750
AUDI,A3 1.8 TFSI (160ch),M10AUDVP0002610,9,118.0,M 6,8.7,5.3,6.6,152.0,ES,D,-
AUDI,A3 2.0 TFSI (200ch) S TRONIC,M10AUDVP0003065,12,147.0,A 6,9.8,5.7,7.2,166.0,ES,E,+ 750
AUDI,A4 AVANT V6 3.2 FSI QUATTRO TIPTRONIC,M10AUDVP0003223,17,195.0,M 6,13.0,6.8,9.1,216.0,ES,F,+ 1600
AUDI,A5 1.8 TFSI (160 ch) MULTITRONIC,M10AUDVP0003320,9,118.0,V 0,9.4,5.9,7.2,169.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP0003417,11,132.0,V 0,9.9,6.0,7.4,174.0,ES,E,+ 750
AUDI,A4 2.0 TFSI (180ch),M10AUDVP0003514,10,132.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A3 1.8 TFSI (160ch)  quattro,M10AUDVP0003611,9,118.0,M 6,9.7,6.0,7.3,170.0,ES,E,+ 750
AUDI,A3 2.0 TFSI (200ch) S TRONIC,M10AUDVP0004066,12,147.0,A 6,9.8,5.7,7.2,166.0,ES,E,+ 750
AUDI,A4 AVANT 2.0 TFSI (211ch)  QUATTRO,M10AUDVP0004260,13,155.0,M 6,9.8,6.1,7.5,174.0,ES,E,+ 750
AUDI,A5 1.8 TFSI (160 ch) MULTITRONIC,M10AUDVP0004321,9,118.0,V 0,9.4,5.9,7.2,169.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP0004418,11,132.0,V 0,9.9,6.0,7.4,174.0,ES,E,+ 750
AUDI,A4 2.0 TFSI (211ch)  MULTITRONIC,M10AUDVP0004515,12,155.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A3 1.8 TFSI (160ch)  quattro,M10AUDVP0004612,9,118.0,M 6,9.7,6.0,7.3,170.0,ES,E,+ 750
AUDI,A3 CABRIOLET 1.2 TFSI (105ch),M10AUDVP0004939,6,77.0,M 6,7.0,5.0,5.7,132.0,ES,C,-
AUDI,A3 2.0 TFSI (200ch),M10AUDVP0005067,12,147.0,M 6,9.8,5.5,7.1,164.0,ES,E,+ 750
AUDI,A4 AVANT V6 3.2 FSI QUATTRO TIPTRONIC,M10AUDVP0005225,17,195.0,M 6,13.0,6.8,9.1,216.0,ES,F,+ 1600
AUDI,A5 1.8 TFSI (160 ch) MULTITRONIC,M10AUDVP0005322,9,118.0,V 0,9.4,5.9,7.2,169.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (211ch) MULTITRONIC,M10AUDVP0005419,13,155.0,V 0,9.9,6.0,7.4,174.0,ES,E,+ 750
AUDI,A4 2.0 TFSI (211ch)  MULTITRONIC,M10AUDVP0005516,12,155.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A3 CABRIOLET 1.2 TFSI (105ch),M10AUDVP0005940,6,77.0,M 6,7.0,5.0,5.7,132.0,ES,C,-
AUDI,A3 2.0 TFSI (200ch),M10AUDVP0006068,12,147.0,M 6,9.8,5.5,7.1,164.0,ES,E,+ 750
AUDI,A4 AVANT 2.0 TFSI (211ch) QUATTRO,M10AUDVP0006262,13,155.0,M 6,9.8,6.1,7.5,174.0,ES,E,+ 750
AUDI,A5 1.8 TFSI (160 ch),M10AUDVP0006323,9,118.0,M 6,9.5,5.6,7.1,164.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (211ch) MULTITRONIC,M10AUDVP0006420,13,155.0,V 0,9.9,6.0,7.4,174.0,ES,E,+ 750
AUDI,A3 2.0 TFSI (200ch) QUATTRO S TRONIC,M10AUDVP0007069,12,147.0,A 6,9.9,6.1,7.5,174.0,ES,E,+ 750
AUDI,A5 1.8 TFSI (160 ch),M10AUDVP0007324,9,118.0,M 6,9.5,5.6,7.1,164.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (211ch) MULTITRONIC,M10AUDVP0007421,13,155.0,V 0,9.9,6.0,7.4,174.0,ES,E,+ 750
AUDI,A4 2.0 TFSI (211ch),M10AUDVP0007518,12,155.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A3 2.0 TFSI (200ch) QUATTRO S TRONIC,M10AUDVP0008070,12,147.0,A 6,9.9,6.1,7.5,174.0,ES,E,+ 750
AUDI,A3 SPORTBACK 2.0 TFSI (200ch) S TRONIC,M10AUDVP0008131,12,147.0,A 6,9.8,5.7,7.2,166.0,ES,E,+ 750
AUDI,A5 1.8 TFSI (160 ch),M10AUDVP0008325,9,118.0,M 6,9.5,5.6,7.1,164.0,ES,E,+ 750
AUDI,A3 SPORTBACK 2.0 TFSI (200ch) S TRONIC,M10AUDVP0009132,12,147.0,A 6,9.8,5.7,7.2,166.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP0009326,10,132.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (211ch),M10AUDVP0009423,12,155.0,M 6,9.1,5.4,6.8,156.0,ES,D,+ 200
AUDI,A4 2.0 TFSI (211ch),M10AUDVP0009520,12,155.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A3 SPORTBACK 2.0 TFSI (200 ch),M10AUDVP000A133,12,147.0,M 6,9.9,5.6,7.2,167.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000A327,10,132.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A5 SPORTBACK V6 3.2 FSI (265ch) QUATTRO S TRONIC,M10AUDVP000A557,17,195.0,A 7,13.5,6.8,9.3,216.0,ES,F,+ 1600
AUDI,A3 SPORTBACK 2.0 TFSI (200 ch),M10AUDVP000B134,12,147.0,M 6,9.9,5.6,7.2,167.0,ES,E,+ 750
AUDI,A5 V6 3.2 FSI MULTITRONIC (265ch),M10AUDVP000B292,17,195.0,V 0,11.6,6.2,8.2,192.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000B328,10,132.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (211ch),M10AUDVP000B425,12,155.0,M 6,9.1,5.4,6.8,156.0,ES,D,+ 200
AUDI,A4 V6 3.2 FSI QUATTRO TIPTRONIC,M10AUDVP000B486,17,195.0,A 6,13.1,7.0,9.3,215.0,ES,F,+ 1600
AUDI,A5 SPORTBACK V6 3.2 FSI (265ch) QUATTRO S TRONIC,M10AUDVP000B558,17,195.0,A 7,13.5,6.8,9.3,216.0,ES,F,+ 1600
AUDI,A3 SPORTBACK 1.4 TFSI (125ch) S TRONIC,M10AUDVP000B619,7,92.0,A 7,6.6,4.8,5.5,127.0,ES,C,-
AUDI,A5 SPORTBACK 2.0 TFSI (211ch) QUATTRO,M10AUDVP000B680,13,155.0,M 6,9.8,5.9,7.3,172.0,ES,E,+ 750
AUDI,A3 SPORTBACK 2.0 TFSI (200ch) QUATTRO S TRONIC,M10AUDVP000C135,12,147.0,A 6,10.0,6.2,7.6,176.0,ES,E,+ 750
AUDI,A5 SPORTBACK V6 3.2 FSI (265ch) QUATTRO S TRONIC,M10AUDVP000C559,17,195.0,A 7,13.5,6.8,9.3,216.0,ES,F,+ 1600
AUDI,A5 SPORTBACK 2.0 TFSI (180ch),M10AUDVP000C584,10,132.0,M 6,8.4,5.4,6.5,152.0,ES,D,-
AUDI,A3 SPORTBACK 1.4 TFSI (125ch) S TRONIC,M10AUDVP000C620,7,92.0,A 7,6.6,4.8,5.5,127.0,ES,C,-
AUDI,A3 SPORTBACK 2.0 TFSI (200ch) QUATTRO S TRONIC,M10AUDVP000D136,12,147.0,A 6,10.0,6.2,7.6,176.0,ES,E,+ 750
AUDI,A5 V6 3.2 FSI (265ch) QUATTRO TIPTRONIC,M10AUDVP000D294,17,195.0,A 6,13.0,6.9,9.2,213.0,ES,F,+ 1600
AUDI,A5 2.0 TFSI (180ch),M10AUDVP000D330,10,132.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A5 CABRIOLET 2.0 TFSI (211ch),M10AUDVP000D427,12,155.0,M 6,9.1,5.4,6.8,156.0,ES,D,+ 200
AUDI,A4 V6 3.2 FSI QUATTRO,M10AUDVP000D488,17,195.0,M 6,13.4,6.7,9.1,214.0,ES,F,+ 1600
AUDI,A4 2.0 TFSI (211ch) QUATTRO,M10AUDVP000D524,12,155.0,M 6,9.7,5.8,7.3,169.0,ES,E,+ 750
AUDI,A5 SPORTBACK 2.0 TFSI (180ch),M10AUDVP000D585,10,132.0,M 6,8.4,5.4,6.5,152.0,ES,D,-
AUDI,A5 SPORTBACK 2.0 TFSI (211ch) QUATTRO,M10AUDVP000D682,13,155.0,M 6,9.8,5.9,7.3,172.0,ES,E,+ 750
AUDI,A3 1.4 TFSI (125ch),M10AUDVP000E040,7,92.0,M 6,7.3,4.8,5.7,132.0,ES,C,-
AUDI,A5 SPORTBACK 2.0 TFSI (180ch),M10AUDVP000E586,10,132.0,M 6,8.4,5.4,6.5,152.0,ES,D,-
AUDI,A4 AVANT 1.8 TFSI (120ch) MULTITRONIC,M10AUDVP000F235,7,88.0,V 0,9.6,6.3,7.5,174.0,ES,E,+ 750
AUDI,A5 V6 3.2 FSI (265ch) QUATTRO TIPTRONIC,M10AUDVP000F296,17,195.0,A 6,13.0,6.9,9.2,213.0,ES,F,+ 1600
AUDI,A5 2.0 TFSI (180ch),M10AUDVP000F332,10,132.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A4 V6 3.2 FSI QUATTRO,M10AUDVP000F490,17,195.0,M 6,13.4,6.7,9.1,214.0,ES,F,+ 1600
AUDI,A4 2.0 TFSI (211ch) QUATTRO,M10AUDVP000F526,12,155.0,M 6,9.7,5.8,7.3,169.0,ES,E,+ 750
AUDI,A5 SPORTBACK 2.0 TFSI (211ch) QUATTRO,M10AUDVP000F684,13,155.0,M 6,9.8,5.9,7.3,172.0,ES,E,+ 750
AUDI,A3 1.4 TFSI (125ch),M10AUDVP000G042,7,92.0,M 6,7.3,4.8,5.7,132.0,ES,C,-
AUDI,A4 AVANT 1.8 TFSI (120ch) MULTITRONIC,M10AUDVP000G236,7,88.0,V 0,9.6,6.3,7.5,174.0,ES,E,+ 750
AUDI,A5 CABRIOLET 2.0 TFSI (211ch) QUATTRO S TRONIC,M10AUDVP000G660,13,155.0,A 7,9.5,6.6,7.7,179.0,ES,E,+ 750
AUDI,S3 2.0 TFSI (265ch) QUATTRO S TRONIC,M10AUDVP000H079,17,195.0,A 6,11.1,6.7,8.3,193.0,ES,E,+ 750
AUDI,A3 SPORTBACK 1.4 TFSI (125ch),M10AUDVP000H104,7,92.0,M 6,7.3,4.9,5.8,134.0,ES,C,-
AUDI,A4 AVANT 1.8 TFSI (120ch),M10AUDVP000H237,7,88.0,M 6,9.6,5.8,7.2,169.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (180ch),M10AUDVP000H334,10,132.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A5 CABRIOLET 2.0 TFSI (211ch) QUATTRO S TRONIC,M10AUDVP000H661,13,155.0,A 7,9.5,6.6,7.7,179.0,ES,E,+ 750
AUDI,S3 2.0 TFSI (265ch) QUATTRO S TRONIC,M10AUDVP000J080,17,195.0,A 6,11.1,6.7,8.3,193.0,ES,E,+ 750
AUDI,S3 2.0 TFSI (265ch) QUATTRO,M10AUDVP000J081,17,195.0,M 6,11.8,6.6,8.5,198.0,ES,E,+ 1600
AUDI,A3 SPORTBACK 1.4 TFSI (125ch),M10AUDVP000J106,7,92.0,M 6,7.3,4.9,5.8,134.0,ES,C,-
AUDI,A4 AVANT 1.8 TFSI (120ch),M10AUDVP000J238,7,88.0,M 6,9.6,5.8,7.2,169.0,ES,E,+ 750
AUDI,A4 AVANT 1.8 TFSI (160ch) MULTITRONIC,M10AUDVP000J239,10,118.0,V 0,9.6,6.3,7.5,174.0,ES,E,+ 750
AUDI,A5 V6 3.2 FSI (265ch) QUATTRO,M10AUDVP000J300,17,195.0,M 6,13.4,6.7,9.1,214.0,ES,F,+ 1600
AUDI,A5 2.0 TFSI (211ch) MULTITRONIC,M10AUDVP000J335,12,155.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (211ch) MULTITRONIC,M10AUDVP000J336,12,155.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A5 SPORTBACK 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000J566,11,132.0,V 0,9.5,5.8,7.2,169.0,ES,E,+ 750
AUDI,A3 CABRIOLET 1.8 (160 ch) TFSI S TRONIC,M10AUDVP000J591,9,118.0,A 7,8.7,5.4,6.6,154.0,ES,D,-
AUDI,A5 CABRIOLET 2.0 TFSI (211ch) QUATTRO S TRONIC,M10AUDVP000J662,13,155.0,A 7,9.5,6.6,7.7,179.0,ES,E,+ 750
AUDI,S3 2.0 TFSI (265ch) QUATTRO,M10AUDVP000K082,17,195.0,M 6,11.8,6.6,8.5,198.0,ES,E,+ 1600
AUDI,A4 AVANT 1.8 TFSI (160ch) MULTITRONIC,M10AUDVP000K240,10,118.0,V 0,9.6,6.3,7.5,174.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (211ch) MULTITRONIC,M10AUDVP000K337,12,155.0,V 0,9.4,5.7,7.1,167.0,ES,E,+ 750
AUDI,A5 SPORTBACK 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000K567,11,132.0,V 0,9.5,5.8,7.2,169.0,ES,E,+ 750
AUDI,A3 CABRIOLET 1.8 (160 ch) TFSI S TRONIC,M10AUDVP000K592,9,118.0,A 7,8.7,5.4,6.6,154.0,ES,D,-
AUDI,A4 AVANT 1.8 TFSI (160ch),M10AUDVP000L241,9,118.0,M 6,9.6,5.8,7.2,169.0,ES,E,+ 750
AUDI,A5 V6 3.2 FSI (265ch) QUATTRO,M10AUDVP000L302,17,195.0,M 6,13.4,6.7,9.1,214.0,ES,F,+ 1600
AUDI,A5 SPORTBACK 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000L568,11,132.0,V 0,9.5,5.8,7.2,169.0,ES,E,+ 750
AUDI,A3 CABRIOLET 1.8 (160 ch) TFSI,M10AUDVP000L593,9,118.0,M 6,8.9,5.5,6.7,156.0,ES,D,+ 200
AUDI,A4 AVANT 1.8 TFSI (160ch),M10AUDVP000M242,9,118.0,M 6,9.6,5.8,7.2,169.0,ES,E,+ 750
AUDI,A5 2.0 TFSI (211ch),M10AUDVP000M339,12,155.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A5 SPORTBACK 2.0 TFSI (211ch),M10AUDVP000M569,12,155.0,M 6,8.4,5.4,6.5,152.0,ES,D,-
AUDI,A3 CABRIOLET 1.8 (160 ch) TFSI,M10AUDVP000M594,9,118.0,M 6,8.9,5.5,6.7,156.0,ES,D,+ 200
AUDI,A4 AVANT 1.8 TFSI (160ch) QUATTRO,M10AUDVP000N243,10,118.0,M 6,10.3,6.2,7.7,179.0,ES,E,+ 750
AUDI,A5 V6 3.2 FSI (265ch) QUATTRO,M10AUDVP000N304,17,195.0,M 6,13.4,6.7,9.1,214.0,ES,F,+ 1600
AUDI,A5 CABRIOLET V6 3.2 FSI (265ch) MULTITRONIC,M10AUDVP000N401,17,195.0,V 0,12.1,6.5,8.6,199.0,ES,E,+ 1600
AUDI,A5 SPORTBACK 2.0 TFSI (211ch),M10AUDVP000N570,12,155.0,M 6,8.4,5.4,6.5,152.0,ES,D,-
AUDI,A3 SPORTBACK 1.8 TFSI (160ch) S TRONIC,M10AUDVP000N631,9,118.0,A 7,8.5,5.2,6.5,149.0,ES,D,-
AUDI,A3 CABRIOLET 2.0 (200 ch) TFSI S TRONIC,M10AUDVP000P015,12,147.0,A 6,9.9,5.9,7.4,171.0,ES,E,+ 750
AUDI,A4 AVANT 1.8 TFSI (160ch) QUATTRO,M10AUDVP000P244,10,118.0,M 6,10.3,6.2,7.7,179.0,ES,E,+ 750
AUDI,A4 AVANT 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000P245,11,132.0,V 0,9.8,5.9,7.3,172.0,ES,E,+ 750
AUDI,S5 V8 4.2 FSI (354 ch) TIPTRONIC,M10AUDVP000P305,26,260.0,A 6,15.7,7.9,10.8,256.0,ES,G,+ 2600
AUDI,S5 V8 4.2 FSI (354 ch) TIPTRONIC,M10AUDVP000P306,26,260.0,A 6,15.7,7.9,10.8,256.0,ES,G,+ 2600
AUDI,A5 2.0 TFSI (211ch),M10AUDVP000P341,12,155.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A5 CABRIOLET V6 3.2 FSI (265ch) MULTITRONIC,M10AUDVP000P402,17,195.0,V 0,12.1,6.5,8.6,199.0,ES,E,+ 1600
AUDI,A5 CABRIOLET V6 3.2 FSI (265ch) MULTITRONIC,M10AUDVP000P403,17,195.0,V 0,12.1,6.5,8.6,199.0,ES,E,+ 1600
AUDI,S4 3.0 TFSI (333 ch) S TRONIC,M10AUDVP000P475,23,245.0,A 7,13.5,7.0,9.4,219.0,ES,F,+ 1600
AUDI,A4 1.8 TFSI (120ch) MULTITRONIC,M10AUDVP000P499,7,88.0,V 0,9.4,5.9,7.2,169.0,ES,E,+ 750
AUDI,A4 1.8 TFSI (120ch) MULTITRONIC,M10AUDVP000P500,7,88.0,V 0,9.4,5.9,7.2,169.0,ES,E,+ 750
AUDI,A5 SPORTBACK 2.0 TFSI (211ch),M10AUDVP000P571,12,155.0,M 6,8.4,5.4,6.5,152.0,ES,D,-
AUDI,A3 SPORTBACK 1.8 TFSI (160ch) S TRONIC,M10AUDVP000P632,9,118.0,A 7,8.5,5.2,6.5,149.0,ES,D,-
AUDI,A3 SPORTBACK 1.8 TFSI (160ch),M10AUDVP000P633,9,118.0,M 6,8.7,5.3,6.6,153.0,ES,D,-
AUDI,A4 2.0 TFSI (211ch) QUATTRO S TRONIC,M10AUDVP000P669,13,155.0,A 7,9.4,6.4,7.5,174.0,ES,E,+ 750
AUDI,A3 CABRIOLET 2.0 (200 ch) TFSI S TRONIC,M10AUDVP000R016,12,147.0,A 6,9.9,5.9,7.4,171.0,ES,E,+ 750
AUDI,A3 CABRIOLET 2.0 (200 ch) TFSI,M10AUDVP000R017,12,147.0,M 6,10.0,5.6,7.2,169.0,ES,E,+ 750
AUDI,S3 SPORTBACK 2.0 TFSI (265ch) QUATTRO S TRONIC,M10AUDVP000R149,16,188.0,A 6,11.2,6.8,8.4,195.0,ES,E,+ 750
AUDI,S3 SPORTBACK 2.0 TFSI (265ch) QUATTRO S TRONIC,M10AUDVP000R150,16,188.0,A 6,11.2,6.8,8.4,195.0,ES,E,+ 750
AUDI,S4 AVANT 3.0 TFSI (333 ch) S TRONIC,M10AUDVP000R211,23,245.0,A 7,13.8,7.3,9.7,224.0,ES,F,+ 1600
AUDI,A4 AVANT 2.0 TFSI (180ch) MULTITRONIC,M10AUDVP000R246,11,132.0,V 0,9.8,5.9,7.3,172.0,ES,E,+ 750
AUDI,S5 V8 4.2 FSI (354 ch) TIPTRONIC,M10AUDVP000R307,26,260.0,A 6,15.7,7.9,10.8,256.0,ES,G,+ 2600
AUDI,S5 V8 4.2 FSI (354 ch),M10AUDVP000R308,26,260.0,M 6,18.1,8.7,12.1,288.0,ES,G,+ 2600
AUDI,A5 2.0 TFSI (211ch),M10AUDVP000R343,12,155.0,M 6,8.3,5.3,6.4,149.0,ES,D,-
AUDI,A5 CABRIOLET V6 3.2 FSI (265ch) QUATTRO S TRONIC,M10AUDVP000R404,17,195.0,A 7,13.8,7.0,9.5,219.0,ES,F,+ 1600
AUDI,A5 CABRIOLET V6 3.2 FSI (265ch) QUATTRO S TRONIC,M10AUDVP000R405,17,195.0,A 7,13.8,7.0,9.5,219.0,ES,F,+ 1600
AUDI,S4 3.0 TFSI (333 ch) S TRONIC,M10AUDVP000R476,23,245.0,A 7,13.5,7.0,9.4,219.0,ES,F,+ 1600
AUDI,S4 3.0 TFSI (333 ch),M10AUDVP000R477,23,245.0,M 6,13.7,7.3,9.7,225.0,ES,F,+ 1600
AUDI,A4 1.8 TFSI (120ch),M10AUDVP000R501,7,88.0,M 6,9.5,5.6,7.1,164.0,ES,E,+ 750
AUDI,A4 1.8 TFSI (120ch),M10AUDVP000R502,7,88.0,M 6,9.5,5.6,7.1,164.0,ES,E,+ 750
AUDI,A3 1.4 TFSI (125ch) S TRONIC,M10AUDVP000R599,7,92.0,A 7,6.4,4.7,5.3,124.0,ES,C,-100
AUDI,A3 SPORTBACK 1.8 TFSI (160ch),M10AUDVP000R634,9,118.0,M 6,8.7,5.3,6.6,153.0,ES,D,-
AUDI,A3 SPORTBACK 1.8 TFSI (160ch) quattro,M10AUDVP000R635,9,118.0,M 6,9.8,6.1,7.4,173.0,ES,E,+ 750
AUDI,A4 2.0 TFSI (211ch)  QUATTRO S TRONIC,M10AUDVP000R670,13,155.0,A 7,9.4,6.4,7.5,174.0,ES,E,+ 750
AUDI,A3 CABRIOLET 2.0 (200 ch) TFSI,M10AUDVP000S018,12,147.0,M 6,10.0,5.6,7.2,169.0,ES,E,+ 750
