marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie
ALFA-ROMEO,BRERA 2.2L JTS,MAL1801NL635,12,136.0,M 6,13.0,7.3,9.4,221,ES,F
ALFA-ROMEO,BRERA 2.2L JTS SELESPEED,MAL1801N4715,12,136.0,M 6,12.8,7.1,9.2,217,ES,F
ALFA-ROMEO,BRERA 2.2L JTS SELESPEED,MAL1801N5716,12,136.0,M 6,12.8,7.1,9.2,217,ES,F
ALFA-ROMEO,BRERA 2.4 JTD,MAL5801N9647,12,147.0,M 6,9.2,5.4,6.8,179,GO,E
ALFA-ROMEO,BRERA 3.2 V6 JTS,MAL2901NZ636,18,191.0,M 6,16.9,8.4,11.5,273,ES,G
ALFA-ROMEO,BRERA 3.2 V6 JTS Qtronic,MAL4901N4685,19,191.0,A 6,18.4,8.6,12.2,289,ES,G
ALFA-ROMEO,GT 1.8L,MAL1601K6510,9,103.0,M 5,12.1,6.4,8.5,202,ES,F
ALFA-ROMEO,GT COUPE 2.0L JTS,MAL1701K6500,11,122.0,M 5,12.2,6.7,8.7,207,ES,F
ALFA-ROMEO,GT COUPE 2.0L JTS SELESPEED,MAL1701K5499,11,122.0,M 5,12.2,6.7,8.7,207,ES,F
ALFA-ROMEO,GT COUPE 3.2L,MAL1901KS502,17,176.5,M 6,18.6,8.7,12.4,295,ES,G
ALFA-ROMEO,GT COUPE JTD (150ch) M JET,MAL5601K5630,9,110.0,M 6,8.5,4.9,6.2,165,GO,E
ALFA-ROMEO,GT COUPE JTD (150ch) M-JET,MAL5601KA671,9,110.0,M 6,8.5,4.9,6.2,165,GO,E
ALFA-ROMEO,SPIDER 2.2 JTS  SELESPEED,MAL1805F7718,12,136.0,M 6,12.8,7.1,9.2,217,ES,F
ALFA-ROMEO,SPIDER 2.2L JTS,MAL1805FF665,12,136.0,M 6,13.0,7.3,9.4,221,ES,F
ALFA-ROMEO,SPIDER 2.4 JTD M-JET 200,MAL5805FV694,12,147.0,M 6,9.2,5.4,6.8,179,GO,E
ALFA-ROMEO,SPIDER 3.2 V6 JTS,MAL2905FT666,18,191.0,M 6,16.9,8.4,11.5,273,ES,G
ALFA-ROMEO,SPIDER 3.2 V6 JTS Qtronic,MAL4905F5686,19,191.0,A 6,18.4,8.6,12.2,289,ES,G
AUDI,A3 1.6L (102ch),MAU13G1GB302,6,75.0,M 5,9.6,5.6,7.1,169,ES,E
AUDI,A3 1.6L (102ch),MAU13G1GD304,6,75.0,M 5,9.6,5.6,7.1,169,ES,E
AUDI,A3 1.6L (102ch) TIPTRONIC,MAU33G1G9298,7,75.0,A 6,10.9,5.9,7.7,183,ES,E
AUDI,A3 1.6L (102ch) TIPTRONIC,MAU33G1GB300,7,75.0,A 6,10.9,5.9,7.7,183,ES,E
AUDI,A3 1.6L FSI (115ch),MAU14G1GP254,7,85.0,M 6,8.8,5.3,6.6,158,ES,D
AUDI,A3 1.6L FSI (115ch),MAU14G1GR256,7,85.0,M 6,8.8,5.3,6.6,158,ES,D
AUDI,A3 1.8T FSI,MAU17G1GS836,10,118.0,M 6,10.0,5.7,7.3,174,ES,E
AUDI,A3 1.8T FSI S tronic,MAU37G1GQ832,10,118.0,A 6,10.4,5.8,7.5,179,ES,E
AUDI,A3 1.9 TDI (105ch),MAU53G1GR350,6,77.0,M 5,6.6,4.2,5.1,135,GO,C
AUDI,A3 1.9 TDI (105ch),MAU53G1GT352,6,77.0,M 5,6.6,4.2,5.1,135,GO,C
AUDI,A3 1.9 TDI (105ch) FAP,MAU53G1G1263,6,77.0,M 5,6.1,4.2,4.9,129,GO,C
AUDI,A3 1.9 TDI (105ch) FAP,MAU53G1G5267,6,77.0,M 5,6.1,4.2,4.9,129,GO,C
AUDI,A3 1.9 TDI (105ch) S TRONIC FAP,MAU73G1G0260,6,77.0,A 6,7.5,4.8,5.8,156,GO,D
AUDI,A3 1.9 TDI (105ch) S TRONIC FAP,MAU73G1GY258,6,77.0,A 6,7.5,4.8,5.8,156,GO,D
AUDI,A3 2.0 TDI (136ch),MAU55G1G2226,7,100.0,M 6,6.8,4.4,5.3,140,GO,C
AUDI,A3 2.0 TDI (136ch),MAU55G1G4228,7,100.0,M 6,6.8,4.4,5.3,140,GO,C
AUDI,A3 2.0 TDI (140ch),MAU56G1GN246,8,103.0,M 6,7.2,4.6,5.5,146,GO,D
AUDI,A3 2.0 TDI (140ch),MAU56G1GP248,8,103.0,M 6,7.2,4.6,5.5,146,GO,D
AUDI,A3 2.0 TDI (140ch) FAP,MAU56G1GJ278,8,103.0,M 6,7.0,4.6,5.5,148,GO,D
AUDI,A3 2.0 TDI (140ch) FAP,MAU56G1GL280,8,103.0,M 6,7.0,4.6,5.5,148,GO,D
AUDI,A3 2.0 TDI (140ch) QUATTRO,MAU66G1GS250,8,103.0,M 6,7.6,4.8,5.8,154,GO,D
AUDI,A3 2.0 TDI (140ch) QUATTRO,MAU66G1GU252,8,103.0,M 6,7.6,4.8,5.8,154,GO,D
AUDI,A3 2.0 TDI (140ch) QUATTRO FAP,MAU66G1GP282,8,103.0,M 6,7.5,5.0,5.9,156,GO,D
AUDI,A3 2.0 TDI (140ch) QUATTRO FAP,MAU66G1GQ284,8,103.0,M 6,7.5,5.0,5.9,156,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC,MAU76G1GH238,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC,MAU76G1GJ240,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC,MAU76G1GL242,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC,MAU76G1GN244,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,MAU76G1GD270,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,MAU76G1GF272,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,MAU76G1GH274,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 2.0 TDI (140ch) S TRONIC FAP,MAU76G1GJ276,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 2.0 TDI (170ch) FAP,MAU57G1G9292,10,125.0,M 6,7.8,4.6,5.8,154,GO,D
AUDI,A3 2.0 TDI (170ch) FAP,MAU57G1GW290,10,125.0,M 6,7.8,4.6,5.8,154,GO,D
AUDI,A3 2.0 TDI (170ch) QUATTRO FAP,MAU67G1GC294,10,125.0,M 6,8.5,5.1,6.4,173,GO,E
AUDI,A3 2.0 TDI (170ch) QUATTRO FAP,MAU67G1GE296,10,125.0,M 6,8.5,5.1,6.4,173,GO,E
