marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BUN68,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BUR82,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BVN69,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BVR83,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BVW06,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BWR84,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BWW07,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BXR85,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BXW08,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BYW09,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BZT94,8,80.0,A 5,11.3,7.6,9.0,239,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BQW50,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BRW51,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BXW48,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BYW49,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BAB90,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BBB91,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BDE90,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BEE91,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BGH90,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BHB88,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BHH91,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJB89,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BKE88,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BLE89,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BNH88,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BPH89,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BEL20,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BFL21,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BLL18,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BML19,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPJ96,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPO82,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPV20,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPV21,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQJ97,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQM94,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQO83,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQT06,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRM95,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRO84,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRT07,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BSM96,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BSO85,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BST08,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BTM97,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BTT09,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BUQ94,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BVQ95,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BVV18,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BWQ96,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BWV19,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BXQ97,8,80.0,M 6,11.6,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3B0X39,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BUX24,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BVX25,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BWX26,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BXX27,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BXX36,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BYX37,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73C3BZX38,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BCC80,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BDC81,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BEC82,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BFC83,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BFF80,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BGF81,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BHF82,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BJC96,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BJF83,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BJI80,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BJI81,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BKC97,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BKI82,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BLC98,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BLI83,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BMC99,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BMF96,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BNF97,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BPF98,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BPF99,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BPI96,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BQI97,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BRI98,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73D3BSI99,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3B0R88,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3B0W29,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3B1R89,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3B3T98,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3B4T99,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BHK40,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BJK41,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BKK34,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BLK35,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BLM06,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BMM07,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BNM08,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BNN70,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BNS02,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BNU00,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BPM09,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BPN71,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BPN72,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BPS03,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BPS04,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BPU01,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BQN73,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BQN82,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BQS05,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BQW10,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BRL94,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BRN83,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BRP90,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BRW11,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BSL95,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BSN84,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BSP91,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BSU14,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BSW12,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BTL96,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BTN85,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BTP74,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BTP92,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BTU15,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BTW13,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BUL97,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BUP75,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BUP93,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BUU16,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BVP76,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BVU17,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BWP77,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BXW26,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BYR86,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BYW27,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BZR87,8,80.0,A 5,11.4,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB73E3BZW28,8,80.0,A 5,11.5,7.7,9.1,242,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BSW52,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BTW53,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BUW54,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BVW55,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BWW56,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BXW57,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BYW58,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53C3BZW59,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B2C00,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B3C01,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B4C02,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B5C03,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B5F00,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B6F01,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B7F02,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B8F03,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B8I00,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3B9I01,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BAI02,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BBI03,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BCB92,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BDB93,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BEB94,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BFB95,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BFE92,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BGB96,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BGE93,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BHB97,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BHE94,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJB98,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJB99,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJE95,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJE96,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJH92,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BJH93,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BKE97,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BKH94,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BLE98,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BLH95,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BME99,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BMH96,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BNH97,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BPH98,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53D3BPH99,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BBK00,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BCK01,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BEN00,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BFN01,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BGL22,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BGN02,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BHL23,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BHN03,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BJL24,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BJL25,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BJN04,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BJN05,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BJR00,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BJR01,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BKL26,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BKR02,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BLL27,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BLR03,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BLT10,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BML28,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BMR04,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BMT11,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BMT20,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BNL29,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BNR05,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BNT12,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BNT21,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPO90,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPO91,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPR06,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPR07,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPT13,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPT14,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BPV30,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQO92,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQR08,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQT15,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQV22,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BQV31,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRJ98,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRO93,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRR09,8,80.0,M 6,11.8,7.7,9.2,245,GO,F
MERCEDES-BENZ,311 EMPAT 32,MMB53E3BRT16,8,80.0,M 6,11.6,7.8,9.2,245,GO,F
