marque,modele_version,cnit,unnamed:_4,unnamed:_5,mine,carburant,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2
ALFA-ROMEO,156 SW 1.8L TS DISTINCTIVE,MAL1604E0310,1604E0310,1604E310,932B310037B,ES,9,103.0,M 5,12.2,6.5,8.6,205.0
ALFA-ROMEO,156 SW 1.8L TS DISTINCTIVE,MAL1604ER337,1604ER337,1604E337,932B310037C,ES,9,103.0,M 5,12.2,6.5,8.6,205.0
ALFA-ROMEO,156 2.0JTS PROGRESSIVE,MAL1702EJ323,1702EJ323,1702E323,932AXD0056,ES,10,119.0,M 5,12.2,6.6,8.6,205.0
ALFA-ROMEO,156 2.0JTS SELESPEED,MAL1702EL325,1702EL325,1702E325,932AXD0158,ES,10,119.0,M 5,12.2,6.6,8.6,205.0
ALFA-ROMEO,156 2.0L SELESPEED,MAL1602E1254,1602E1254,1602E254,932A210129,ES,10,110.0,M 5,12.3,6.6,8.7,207.0
ALFA-ROMEO,156 2.0L SELESPEED,MAL1602E1290,1602E1290,1602E290,932A210129B,ES,10,110.0,M 5,12.3,6.6,8.7,207.0
ALFA-ROMEO,156 2.0L SELESPEED,MAL1602EM300,1602EM300,1602E300,932A210129C,ES,10,110.0,M 5,12.3,6.6,8.7,207.0
ALFA-ROMEO,156 2.0L TS,MAL1602E0253,1602E0253,1602E253,932A210028,ES,10,110.0,M 5,12.3,6.6,8.7,207.0
ALFA-ROMEO,156 2.0L TS,MAL1602E0289,1602E0289,1602E289,932A210028B,ES,10,110.0,M 5,12.3,6.6,8.7,207.0
ALFA-ROMEO,156 2.0L TS,MAL1602EL299,1602EL299,1602E299,932A210028C,ES,10,110.0,M 5,12.3,6.6,8.7,207.0
ALFA-ROMEO,156 SW 2.0JTS DISTINCTIVE,MAL1704EP324,1704EP324,1704E324,932BXD0057,ES,10,119.0,M 5,12.5,6.8,8.9,212.0
ALFA-ROMEO,156 SW 2.0L SELESPEED,MAL1604EC261,1604EC261,1604E261,932B210136,ES,10,110.0,M 5,12.6,6.9,8.7,214.0
ALFA-ROMEO,156 SW 2.0L SELESPEED,MAL1604EY308,1604EY308,1604E308,932B210136B,ES,10,110.0,M 5,12.6,6.9,9.0,214.0
ALFA-ROMEO,156 SW 2.0L TS,MAL1604EB260,1604EB260,1604E260,932B210035,ES,10,110.0,M 5,12.6,6.9,9.0,214.0
ALFA-ROMEO,156 SW 2.0L TS,MAL1604EX307,1604EX307,1604E307,932B210035B,ES,10,110.0,M 5,12.6,6.9,9.0,214.0
ALFA-ROMEO,156 2.0JTS DISTINCTIVE,MAL1702EF319,1702EF319,1702E319,932AXA0052,ES,11,122.0,M 5,12.2,6.6,8.6,205.0
ALFA-ROMEO,156 2.0JTS SELESPEED,MAL1702EH321,1702EH321,1702E321,932AXA0154,ES,11,122.0,M 5,12.2,6.6,8.6,205.0
ALFA-ROMEO,156 SW 2.0JTS PROGRESSIVE,MAL1704EK320,1704EK320,1704E320,932BXA0053,ES,11,122.0,M 5,12.5,6.8,8.9,212.0
ALFA-ROMEO,156 SW 2.0JTS SELESPEED,MAL1704EM322,1704EM322,1704E322,932BXA0155,ES,11,122.0,M 5,12.5,6.8,8.9,212.0
ALFA-ROMEO,156 2.5L V6,MAL1802EJ251,1802EJ251,1802E251,932A110026,ES,14,141.0,M 6,17.5,8.5,11.8,282.0
ALFA-ROMEO,156 2.5L V6 DISTINCTIVE,MAL1802E3297,1802E3297,1802E297,932A110026C,ES,14,141.0,M 6,17.5,8.5,11.8,282.0
ALFA-ROMEO,156 2.5L V6 Q SYSTEM,MAL3802EP252,3802EP252,3802E252,932A110127,ES,14,141.0,A 4,17.5,8.6,11.9,283.0
ALFA-ROMEO,156 2.5L V6 Q SYSTEM,MAL3802EA298,3802EA298,3802E298,932A110127C,ES,14,141.0,A 4,17.5,8.6,11.9,283.0
ALFA-ROMEO,156 SW 2.5L V6,MAL1804ET258,1804ET258,1804E258,932B110033,ES,14,141.0,M 6,17.8,8.6,12.0,286.0
ALFA-ROMEO,156 SW 2.5L V6 DISTINCTIVE,MAL1804EF305,1804EF305,1804E305,932B110033B,ES,14,141.0,M 6,17.8,8.6,12.0,286.0
ALFA-ROMEO,156 SW 2.5L V6 Q SYSTEM,MAL3804E0259,3804E0259,3804E259,932B110134,ES,14,141.0,A 4,18.1,8.8,12.2,291.0
ALFA-ROMEO,156 SW 2.5L V6 Q SYSTEM,MAL3804EM306,3804EM306,3804E306,932B110134B,ES,14,141.0,A 4,18.1,8.8,12.2,291.0
ALFA-ROMEO,156 GTA,MAL1902ET313,1902ET313,1902E313,932AXB0046,ES,18,184.0,M 6,18.1,8.6,12.1,287.0
ALFA-ROMEO,156 GTA,MAL1902EV315,1902EV315,1902E315,932AXB0148,ES,18,184.0,M 6,18.1,8.6,12.1,287.0
ALFA-ROMEO,156 SW GTA,MAL1904EY314,1904EY314,1904E314,932BXB0047,ES,18,184.0,M 6,18.4,8.8,12.3,293.0
ALFA-ROMEO,156 1.9JTD,MAL5402EA271,5402EA271,5402E271,932A2B0041,GO,7,81.0,M 5,7.8,4.7,5.8,155.0
ALFA-ROMEO,156 1.9JTD,MAL5402EJ280,5402EJ280,5402E280,932A2C0044,GO,7,85.0,M 5,7.8,4.7,5.8,155.0
ALFA-ROMEO,156 1.9JTD,MAL5402EA296,5402EA296,5402E296,932A2C0044B,GO,7,85.0,M 5,7.8,4.7,5.8,155.0
ALFA-ROMEO,156 1.9JTD,MAL5402EF301,5402EF301,5402E301,932A2C0044C,GO,7,85.0,M 5,7.8,4.7,5.8,155.0
ALFA-ROMEO,156 SW 1.9JTD,MAL5404EG273,5404EG273,5404E273,932B2B0043,GO,7,81.0,M 5,7.9,4.9,6.0,160.0
ALFA-ROMEO,156 SW 1.9JTD,MAL5404EP281,5404EP281,5404E281,932B2C0045,GO,7,85.0,M 5,7.9,4.9,6.0,160.0
ALFA-ROMEO,156 SW 1.9JTD DISTINCTIVE,MAL5404ER309,5404ER309,5404E309,932B2C0045B,GO,7,85.0,M 5,7.9,4.9,6.0,160.0
ALFA-ROMEO,156 1.9JTD (140ch) PROGRESSION,MAL5602E5343,5602E5343,5602E343,932AXE0060,GO,8,103.0,M 6,8.0,4.7,5.9,157.0
ALFA-ROMEO,156 2.4JTD,MAL5602ET270,5602ET270,5602E270,932A1B0040,GO,8,103.0,M 5,8.9,5.4,6.7,178.0
ALFA-ROMEO,156 2.4JTD,MAL5602ES294,5602ES294,5602E294,932A1B0040B,GO,8,103.0,M 5,8.9,5.4,6.7,178.0
ALFA-ROMEO,156 SW 1.9JTD (140ch) PROGRESSION,MAL5604EA344,5604EA344,5604E344,932BXE0061,GO,8,103.0,M 6,8.2,4.8,6.1,161.0
ALFA-ROMEO,156 2.4JTD DISTINCTIVE,MAL5602EF317,5602EF317,5602E317,932AXC0050,GO,9,110.0,M 5,8.8,5.3,6.6,175.0
ALFA-ROMEO,156 SW 2.4JTD,MAL5604EZ272,5604EZ272,5604E272,932B1B0042,GO,9,103.0,M 5,9.0,5.6,6.8,180.0
ALFA-ROMEO,156 SW 2.4JTD PROGRESSIVE,MAL5604EK318,5604EK318,5604E318,932BXC0051,GO,9,110.0,M 5,8.9,5.5,6.7,178.0
ALFA-ROMEO,166 2.0L TS,MAL1602GZ250,1602GZ250,1602G250,936A3B0014,ES,10,110.0,M 6,13.8,7.3,9.7,230.0
ALFA-ROMEO,166 2.5L V6,MAL1802GJ249,1802GJ249,1802G249,936A210013,ES,14,138.0,M 6,17.2,8.8,11.9,284.0
ALFA-ROMEO,166 3.0L V6,MAL1902GQ247,1902GQ247,1902G247,936A110011,ES,16,162.0,M 6,18.3,9.1,12.5,297.0
ALFA-ROMEO,166 3.0L V6 SPORTRONIC,MAL3902G8248,3902G8248,3902G248,936A110112,ES,16,162.0,A 4,19.4,9.3,13.0,310.0
ALFA-ROMEO,166 2.4JTD,MAL5602GU269,5602GU269,5602G269,936A2B0015,GO,9,103.0,M 6,10.4,6.0,7.6,201.0
ALFA-ROMEO,166 2.4JTD DISTINCTIVE,MAL5602GR327,5602GR327,5602G327,936AXA0016,GO,9,110.0,M 6,10.4,5.8,7.5,199.0
ALFA-ROMEO,GTV 2.0L TS,MAL1601HU246,1601HU246,1601H246,916C2C0035,ES,10,110.0,M 5,13.3,6.8,9.2,220.0
ALFA-ROMEO,GTV 2.0L TS,MAL1601HW284,1601HW284,1601H284,916C2C0035B,ES,10,110.0,M 5,13.3,6.8,9.2,220.0
ALFA-ROMEO,GTV 3.0L V6 24V,MAL1901HM244,1901HM244,1901H244,916C1B0033,ES,15,160.0,M 6,16.8,8.7,11.7,278.0
ALFA-ROMEO,GTV 3.0L V6 24V,MAL1901HP283,1901HP283,1901H283,916C1B0033B,ES,15,160.0,M 6,16.8,8.7,11.7,278.0
ALFA-ROMEO,SPIDER 2.0L TS,MAL1605FZ245,1605FZ245,1605F245,916S2C0034,ES,10,110.0,M 5,13.3,6.8,9.2,220.0
ALFA-ROMEO,SPIDER 2.0L TS,MAL1605F3285,1605F3285,1605F285,916S2C0034B,ES,10,110.0,M 5,13.3,6.8,9.2,220.0
ALFA-ROMEO,SPIDER 3.0L V6 24V,MAL1905FR243,1905FR243,1905F243,916S1B0032,ES,15,160.0,M 6,16.8,8.7,11.7,278.0
ALFA-ROMEO,SPIDER 3.0L V6 24V,MAL1905FU282,1905FU282,1905F282,916S1B0032B,ES,15,160.0,M 6,16.8,8.7,11.7,278.0
ASTON MARTIN,DB7 Vantage 2PL BVA CG,MAM3901C1052,3901C1052,3901C052,DB7C8LDC2E2,ES,36,306.0,A 5,33.1,11.9,19.7,472.0
ASTON MARTIN,DB7 Vantage 2PL CG,MAM1901CJ050,1901CJ050,1901C050,DB7C6LCB2E2,ES,36,306.0,M 6,30.8,12.9,19.5,469.0
ASTON MARTIN,DB7 Vantage 2PL CG,MAM1901CW064,1901CW064,1901C064,DB7C6LCB3E2,ES,36,306.0,M 6,30.8,12.9,19.5,469.0
ASTON MARTIN,DB7 Vantage 4PL BVA CG,MAM3901CT044,3901CT044,3901C044,DB7C4LDC2E4,ES,36,306.0,A 5,33.1,11.9,19.7,472.0
ASTON MARTIN,DB7 Vantage 4PL CG,MAM1901CA042,1901CA042,1901C042,DB7C2LCB2E4,ES,36,306.0,M 6,30.8,12.9,19.5,469.0
ASTON MARTIN,DB7 Vantage 4PL CG,MAM1901CU062,1901CU062,1901C062,DB7C2LCB3E4,ES,36,306.0,M 6,30.8,12.9,19.5,469.0
ASTON MARTIN,DB7 Vantage Volante 2PL BVA CG,MAM3905CD056,3905CD056,3905C056,DB7D8LDC2E2,ES,36,306.0,A 5,33.1,11.9,19.7,472.0
ASTON MARTIN,DB7 Vantage Volante 2PL CG,MAM1905CU054,1905CU054,1905C054,DB7D6LCB2E2,ES,36,306.0,M 6,30.8,12.9,19.5,469.0
ASTON MARTIN,DB7 Vantage Volante 4PL BVA CG,MAM3905C5048,3905C5048,3905C048,DB7D4LDC2E4,ES,36,306.0,A 5,33.1,11.9,19.7,472.0
ASTON MARTIN,DB7 Vantage Volante 4PL CG,MAM1905CM046,1905CM046,1905C046,DB7D2LCB2E4,ES,36,306.0,M 6,30.8,12.9,19.5,469.0
ASTON MARTIN,VANQUISH 2PL CG,MAM1901GW060,1901GW060,1901G060,AMV03A4LCKFD2,ES,40,345.0,M 6,25.6,11.5,16.7,396.0
ASTON MARTIN,VANQUISH 4PL CG,MAM1901GU058,1901GU058,1901G058,AMV03A2LCKFD4,ES,40,345.0,M 6,25.6,11.5,16.7,396.0
AUDI,A2 1.4L (75ch),MAU11A2QK185,11A2QK185,11A2Q185,8ZLAUAF1FM52T008R8Z50S4I,ES,5,55.0,M 5,8.2,4.7,6.0,144.0
AUDI,A2 1.4L (75ch),MAU11A2QL186,11A2QL186,11A2Q186,8ZLAUAF1FM52T008R8Z50S4K,ES,5,55.0,M 5,8.3,4.8,6.1,146.0
AUDI,A2 1.4L (75ch),MAU11A2QM187,11A2QM187,11A2Q187,8ZLAUAF1FM52T008R8Z50S5I,ES,5,55.0,M 5,8.2,4.7,6.0,144.0
AUDI,A2 1.4L (75ch),MAU11A2QN188,11A2QN188,11A2Q188,8ZLAUAF1FM52T008R8Z50S5K,ES,5,55.0,M 5,8.3,4.8,6.1,146.0
AUDI,A2 1.4L (75ch),MAU11A2QJ209,11A2QJ209,11A2Q209,8ZLBBYF1FM52T008R8Z50S4I,ES,5,55.0,M 5,8.1,4.6,5.9,142.0
AUDI,A2 1.6L FSI,MAU14A2QV193,14A2QV193,14A2Q193,8ZLBADF1FM52T008R8Z50S4K,ES,6,81.0,M 5,8.1,4.7,5.9,142.0
AUDI,A2 1.4TDI (75ch),MAU51A2QG177,51A2QG177,51A2Q177,8ZLAMFF1FM52J064R8Z50S4K,GO,4,55.0,M 5,5.6,3.5,4.3,116.0
AUDI,A2 1.4TDI (75ch),MAU51A2QH178,51A2QH178,51A2Q178,8ZLAMFF1FM52J064R8Z50S4L,GO,4,55.0,M 5,5.7,3.6,4.4,119.0
AUDI,A2 1.4TDI (75ch),MAU51A2QJ179,51A2QJ179,51A2Q179,8ZLAMFF1FM52J064R8Z50S5K,GO,4,55.0,M 5,5.6,3.5,4.3,116.0
AUDI,A2 1.4TDI (75ch),MAU51A2QJ180,51A2QJ180,51A2Q180,8ZLAMFF1FM52J064R8Z50S5L,GO,4,55.0,M 5,5.7,3.6,4.4,119.0
AUDI,A3 3P 1.6L (102ch),MAU1381G9857,1381G9857,1381G857,8LLAVUF1FM52K028R8L60T2L,ES,6,75.0,M 5,9.8,5.4,7.0,168.0
AUDI,A3 5P 1.6L (102ch),MAU1382GE860,1382GE860,1382G860,8LLAVUF1FM52K028R8L60T4L,ES,6,75.0,M 5,9.8,5.4,7.0,168.0
AUDI,A3 3P 1.6L (102ch),MAU1381GA858,1381GA858,1381G858,8LLAVUF1FM52K028R8L60T2M,ES,7,75.0,M 5,9.9,5.5,7.1,170.0
AUDI,A3 3P 1.6L (102ch) BVA,MAU3381GY840,3381GY840,3381G840,8LLAVUF1FA41M034R8L60T2L,ES,7,75.0,A 4,11.2,6.2,8.0,192.0
AUDI,A3 3P 1.6L (102ch) BVA,MAU3381GZ841,3381GZ841,3381G841,8LLAVUF1FA41M034R8L60T2M,ES,7,75.0,A 4,11.4,6.3,8.1,194.0
AUDI,A3 3P 1.6L (102ch) BVA,MAU33A1GK121,33A1GK121,33A1G121,8LLBFQF1FA41M034R8L60T2L,ES,7,75.0,A 4,11.2,6.2,8.0,192.0
AUDI,A3 5P 1.6L (102ch),MAU1382GF861,1382GF861,1382G861,8LLAVUF1FM52K028R8L60T4M,ES,7,75.0,M 5,9.9,5.5,7.1,170.0
AUDI,A3 5P 1.6L (102ch) BVA,MAU3382G3843,3382G3843,3382G843,8LLAVUF1FA41M034R8L60T4M,ES,7,75.0,A 4,11.4,6.3,8.1,194.0
AUDI,A3 3P 1.8L (125ch),MAU1581GP464,1581GP464,1581G464,8LLAPGF1FM52J003R8L60T2L,ES,8,92.0,M 5,10.6,6.2,7.8,187.0
AUDI,A3 3P 1.8L (125ch),MAU1581GP465,1581GP465,1581G465,8LLAPGF1FM52J003R8L60T2M,ES,8,92.0,M 5,10.7,6.3,7.9,190.0
AUDI,A3 3P 1.8L (125ch) BVA,MAU3581G7441,3581G7441,3581G441,8LLAPGF1FA41M028R8L60T2M,ES,8,92.0,A 4,12.0,6.9,8.8,211.0
AUDI,A3 5P 1.8L (125ch),MAU1582GT467,1582GT467,1582G467,8LLAPGF1FM52J003R8L60T4M,ES,8,92.0,M 5,10.7,6.3,7.9,190.0
AUDI,A3 5P 1.8L (125ch) BVA,MAU3582GC444,3582GC444,3582G444,8LLAPGF1FA41M028R8L60T4M,ES,8,92.0,A 4,12.0,6.9,8.8,211.0
AUDI,A3 3P 1.8T (150ch),MAU1681GV777,1681GV777,1681G777,8LLAUMF1FM52J013R8L60T2M,ES,9,110.0,M 5,10.7,6.2,7.9,190.0
AUDI,A3 5P 1.8T (150ch),MAU1682G0780,1682G0780,1682G780,8LLAUMF1FM52J013R8L60T4M,ES,9,110.0,M 5,10.7,6.2,7.9,190.0
AUDI,A3 3P 1.8T (150ch) BVA,MAU3681G2753,3681G2753,3681G753,8LLAUMF1FA41M037R8L60T2M,ES,10,110.0,A 4,12.8,6.9,9.0,216.0
AUDI,A3 5P 1.8T (150ch) BVA,MAU3682G7756,3682G7756,3682G756,8LLAUMF1FA41M037R8L60T4M,ES,10,110.0,A 4,12.8,6.9,9.0,216.0
AUDI,A3 5P 1.8T (150ch) BVA,MAU3682G8757,3682G8757,3682G757,8LLAUMF1FA41M037R8L60T4N,ES,10,110.0,A 4,12.9,7.0,9.1,218.0
AUDI,A3 3P 1.8T (180ch),MAU1881GJ817,1881GJ817,1881G817,8LLAUQF1FM52J032R8L61T2M,ES,11,132.0,M 5,10.7,6.3,7.9,190.0
AUDI,A3 5P 1.8T (180ch),MAU1882GP820,1882GP820,1882G820,8LLAUQF1FM52J032R8L61T4M,ES,11,132.0,M 5,10.7,6.3,7.9,190.0
AUDI,A3 3P 1.8T (180ch) QUATTRO BV6,MAU2881G8609,2881G8609,2881G609,8LLARYQ1QM62M005R8L61T2N,ES,12,132.0,M 6,13.0,7.5,9.4,226.0
AUDI,A3 3P 1.8T (180ch) QUATTRO BV6,MAU2881G9610,2881G9610,2881G610,8LLARYQ1QM62M005R8L61T2O,ES,12,132.0,M 6,13.1,7.6,9.5,228.0
AUDI,A3 3P 1.8T (180ch) TIPTRONIC,MAU3881GJ800,3881GJ800,3881G800,8LLAUQF1FA59A015R8L61T2M,ES,12,132.0,A 5,13.0,6.7,9.0,216.0
AUDI,A3 3P 1.8T (180ch) TIPTRONIC,MAU3881GK801,3881GK801,3881G801,8LLAUQF1FA59A015R8L61T2N,ES,12,132.0,A 5,13.1,6.9,9.1,218.0
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,MAU2882GC611,2882GC611,2882G611,8LLARYQ1QM62M005R8L61T4M,ES,12,132.0,M 6,12.9,7.4,9.3,223.0
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,MAU2882GD612,2882GD612,2882G612,8LLARYQ1QM62M005R8L61T4N,ES,12,132.0,M 6,13.0,7.5,9.4,226.0
AUDI,A3 5P 1.8T (180ch) QUATTRO BV6,MAU2882GE613,2882GE613,2882G613,8LLARYQ1QM62M005R8L61T4O,ES,12,132.0,M 6,13.1,7.6,9.5,228.0
AUDI,A3 5P 1.8T (180ch) TIPTRONIC,MAU3882GN802,3882GN802,3882G802,8LLAUQF1FA59A015R8L61T4M,ES,12,132.0,A 5,13.0,6.7,9.0,216.0
AUDI,A3 5P 1.8T (180ch) TIPTRONIC,MAU3882GP803,3882GP803,3882G803,8LLAUQF1FA59A015R8L61T4N,ES,12,132.0,A 5,13.1,6.9,9.1,218.0
AUDI,A3 3P 1.9TDI (90ch),MAU5281G9880,5281G9880,5281G880,8LLALHF1FM52J017R8L60T2L,GO,5,66.0,M 5,6.5,4.1,4.9,132.0
AUDI,A3 3P 1.9TDI (90ch),MAU5281GA881,5281GA881,5281G881,8LLALHF1FM52J017R8L60T2M,GO,5,66.0,M 5,6.6,4.2,5.0,135.0
AUDI,A3 5P 1.9TDI (90ch),MAU5282GF884,5282GF884,5282G884,8LLALHF1FM52J017R8L60T4M,GO,5,66.0,M 5,6.6,4.2,5.0,135.0
AUDI,A3 3P 1.9TDI (101ch),MAU5391GV988,5391GV988,5391G988,8LLAXRF1FM52J060R8L60T2L,GO,6,74.0,M 5,6.5,4.2,5.0,135.0
AUDI,A3 3P 1.9TDI (101ch),MAU5381G3936,5381G3936,5381G936,8LLATDF1FM52J060R8L60T2L,GO,6,74.0,M 5,6.5,4.2,5.0,135.0
AUDI,A3 3P 1.9TDI (101ch),MAU5381G4937,5381G4937,5381G937,8LLATDF1FM52J060R8L60T2M,GO,6,74.0,M 5,6.6,4.3,5.1,138.0
AUDI,A3 3P 1.9TDI (110ch),MAU5481GP681,5481GP681,5481G681,8LLASVF1FM52J016R8L60T2M,GO,6,81.0,M 5,6.6,4.1,5.0,135.0
AUDI,A3 5P 1.9TDI (101ch),MAU5382G9940,5382G9940,5382G940,8LLATDF1FM52J060R8L60T4M,GO,6,74.0,M 5,6.6,4.3,5.1,138.0
AUDI,A3 5P 1.9TDI (110ch),MAU5482GT684,5482GT684,5482G684,8LLASVF1FM52J016R8L60T4M,GO,6,81.0,M 5,6.6,4.1,5.0,135.0
AUDI,A3 3P 1.9TDI (130ch) BV6,MAU5581GM705,5581GM705,5581G705,8LLASZF1FM62M001R8L60T2M,GO,7,96.0,M 6,7.0,4.3,5.2,140.0
AUDI,A3 3P 1.9TDI (130ch) BV6,MAU5581GN706,5581GN706,5581G706,8LLASZF1FM62M001R8L60T2N,GO,7,96.0,M 6,7.1,4.5,5.4,146.0
AUDI,A3 5P 1.9TDI (130ch) BV6,MAU5582GR708,5582GR708,5582G708,8LLASZF1FM62M001R8L60T4M,GO,7,96.0,M 6,7.0,4.3,5.2,140.0
AUDI,A3 5P 1.9TDI (130ch) BV6,MAU5582GS709,5582GS709,5582G709,8LLASZF1FM62M001R8L60T4N,GO,7,96.0,M 6,7.1,4.5,5.4,146.0
AUDI,A3 3P 1.9TDI (130ch) QUATTRO BV6,MAU6581GD729,6581GD729,6581G729,8LLASZQ1QM62M003R8L60T2N,GO,8,96.0,M 6,8.0,5.1,6.2,167.0
AUDI,A3 3P 1.9TDI (130ch) QUATTRO BV6,MAU6581GE730,6581GE730,6581G730,8LLASZQ1QM62M003R8L60T2O,GO,8,96.0,M 6,8.1,5.2,6.3,170.0
AUDI,A3 3P 1.9TDI (130ch) TIPTRONIC,MAU7581GX904,7581GX904,7581G904,8LLASZF1FA59A014R8L60T2M,GO,8,96.0,A 5,9.0,5.0,6.5,176.0
AUDI,A3 3P 1.9TDI (130ch) TIPTRONIC,MAU7581GY905,7581GY905,7581G905,8LLASZF1FA59A014R8L60T2N,GO,8,96.0,A 5,9.1,5.1,6.5,178.0
AUDI,A3 5P 1.9TDI (130ch) QUATTRO BV6,MAU6582GJ733,6582GJ733,6582G733,8LLASZQ1QM62M003R8L60T4O,GO,8,96.0,M 6,8.1,5.2,6.3,170.0
