marque,modele_version,cnit,mine,energie,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,immat
ALFA-ROMEO,156 2.0JTS PROGRESSIVE,MAL1702EJ323,932AXD0056,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS PROGRESSIVE,MAL1702ER392,932AXD0056B,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS SELESPEED,MAL1702EH321,932AXA0154,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS SELESPEED,MAL1702EQ391,932AXA0154B,ES,11,122.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS SELESPEED,MAL1702EL325,932AXD0158,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.0JTS SELESPEED,MAL1702ES393,932AXD0158B,ES,10,119.0,M 5,12.2,6.6,8.6,205.0,2003-03-01
ALFA-ROMEO,156 2.4JTD DISTINCTIVE,MAL5602EF317,932AXC0050,GO,9,110.0,M 5,8.8,5.3,6.6,175.0,2003-03-01
ALFA-ROMEO,156 2.4JTD DISTINCTIVE,MAL5602EQ389,932AXC0050B,GO,9,110.0,M 5,8.8,5.3,6.6,175.0,2003-03-01
ALFA-ROMEO,156 2.5L V6 DISTINCTIVE,MAL1802E3297,932A110026C,ES,14,141.0,M 6,17.5,8.5,11.8,282.0,2003-03-01
ALFA-ROMEO,156 2.5L V6 DISTINCTIVE,MAL1802ED379,932A110026D,ES,14,141.0,M 6,17.5,8.5,11.8,282.0,2003-03-01
ALFA-ROMEO,156 2.5L V6 Q SYSTEM,MAL3802EA298,932A110127C,ES,14,141.0,A 4,17.5,8.6,11.9,283.0,2003-03-01
ALFA-ROMEO,156 2.5L V6 Q SYSTEM,MAL3802EK380,932A110127D,ES,14,141.0,A 4,17.5,8.6,11.9,283.0,2003-03-01
ALFA-ROMEO,156 GTA,MAL1902ET313,932AXB0046,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,2003-03-01
ALFA-ROMEO,156 GTA,MAL1902EV412,932AXB0046B,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,2003-03-01
ALFA-ROMEO,156 GTA SELESPEED,MAL1902EX414,932AXB0148B,ES,18,184.0,M 6,18.1,8.6,12.1,287.0,2003-03-01
ALFA-ROMEO,156 SW 1.6L TS DISTINCTIVE,MAL1404EH311,932B410038B,ES,8,88.0,M 5,11.5,6.5,8.3,198.0,2003-03-01
ALFA-ROMEO,156 SW 1.6L TS DISTINCTIVE,MAL1404EA401,932B410038D,ES,8,88.0,M 5,11.5,6.5,8.3,198.0,2003-03-01
ALFA-ROMEO,156 SW 1.6L TS DISTINCTIVE,MAL1404EJ312,932B4B0039B,ES,7,81.0,M 5,11.5,6.5,8.3,198.0,2003-03-01
ALFA-ROMEO,156 SW 1.6L TS DISTINCTIVE,MAL1404EB402,932B4B0039C,ES,7,81.0,M 5,11.5,6.5,8.3,198.0,2003-03-01
ALFA-ROMEO,156 SW 1.8L TS DISTINCTIVE,MAL1604E0310,932B310037B,ES,9,103.0,M 5,12.2,6.5,8.6,205.0,2003-03-01
ALFA-ROMEO,156 SW 1.8L TS DISTINCTIVE,MAL1604ES399,932B310037D,ES,9,103.0,M 5,12.2,6.5,8.6,205.0,2003-03-01
ALFA-ROMEO,156 SW 1.9JTD (140ch) PROGRESSION,MAL5604EA344,932BXE0061,GO,8,103.0,M 6,8.2,4.8,6.1,161.0,2003-03-01
ALFA-ROMEO,156 SW 1.9JTD (140ch) PROGRESSION,MAL5604EG411,932BXE0061B,GO,8,103.0,M 6,8.2,4.8,6.1,161.0,2003-03-01
ALFA-ROMEO,156 SW 1.9JTD DISTINCTIVE,MAL5404ER309,932B2C0045B,GO,7,85.0,M 5,7.9,4.9,6.0,160.0,2003-03-01
ALFA-ROMEO,156 SW 1.9JTD DISTINCTIVE,MAL5404EP403,932B2C0045C,GO,7,85.0,M 5,7.9,4.9,6.0,160.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS DISTINCTIVE,MAL1704EP324,932BXD0057,ES,10,119.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS DISTINCTIVE,MAL1704EB408,932BXD0057B,ES,10,119.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS PROGRESSIVE,MAL1704EK320,932BXA0053,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS PROGRESSIVE,MAL1704E9406,932BXA0053B,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS SELESPEED,MAL1704EM322,932BXA0155,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS SELESPEED,MAL1704EA407,932BXA0155B,ES,11,122.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.0JTS SELESPEED,MAL1704EC409,932BXD0159B,ES,10,119.0,M 5,12.5,6.8,8.9,212.0,2003-03-01
ALFA-ROMEO,156 SW 2.4JTD PROGRESSIVE,MAL5604EK318,932BXC0051,GO,9,110.0,M 5,8.9,5.5,6.7,178.0,2003-03-01
ALFA-ROMEO,156 SW 2.4JTD PROGRESSIVE,MAL5604E9404,932BXC0051C,GO,9,110.0,M 5,8.9,5.5,6.7,178.0,2003-03-01
ALFA-ROMEO,156 SW 2.5L V6 DISTINCTIVE,MAL1804EF305,932B110033B,ES,14,141.0,M 6,17.8,8.6,12.0,286.0,2003-03-01
ALFA-ROMEO,156 SW 2.5L V6 DISTINCTIVE,MAL1804E8395,932B110033C,ES,14,141.0,M 6,17.8,8.6,12.0,286.0,2003-03-01
ALFA-ROMEO,156 SW 2.5L V6 Q SYSTEM,MAL3804EM306,932B110134B,ES,14,141.0,A 4,18.1,8.8,12.2,291.0,2003-03-01
ALFA-ROMEO,156 SW GTA,MAL1904EY314,932BXB0047,ES,18,184.0,M 6,18.4,8.8,12.3,293.0,2003-03-01
ALFA-ROMEO,156 SW GTA,MAL1904E0413,932BXB0047B,ES,18,184.0,M 6,18.4,8.8,12.3,293.0,2003-03-01
ALFA-ROMEO,156 SW GTA SELESPEED,MAL1904E2415,932BXB0149B,ES,18,184.0,M 6,18.4,8.8,12.3,293.0,2003-03-01
ALFA-ROMEO,166 2.0L TS,MAL1602GZ250,936A3B0014,ES,10,110.0,M 6,13.8,7.3,9.7,230.0,2003-03-01
ALFA-ROMEO,166 2.0L TS,MAL1602GM431,936A3B0014B,ES,10,110.0,M 6,13.8,7.3,9.7,230.0,2003-03-01
ALFA-ROMEO,166 2.4JTD DISTINCTIVE,MAL5602GR327,936AXA0016,GO,9,110.0,M 6,10.4,5.8,7.5,199.0,2003-03-01
ALFA-ROMEO,166 2.4JTD DISTINCTIVE,MAL5602G0433,936AXA0016B,GO,9,110.0,M 6,10.4,5.8,7.5,199.0,2003-03-01
ALFA-ROMEO,166 2.5L V6,MAL1802GJ249,936A210013,ES,14,138.0,M 6,17.2,8.8,11.9,284.0,2003-03-01
ALFA-ROMEO,166 2.5L V6,MAL1802G5430,936A210013B,ES,14,138.0,M 6,17.2,8.8,11.9,284.0,2003-03-01
ALFA-ROMEO,166 3.0L V6,MAL1902GQ247,936A110011,ES,16,162.0,M 6,18.3,9.1,12.5,297.0,2003-03-01
ALFA-ROMEO,166 3.0L V6,MAL1902GD428,936A110011B,ES,16,162.0,M 6,18.3,9.1,12.5,297.0,2003-03-01
ALFA-ROMEO,166 3.0L V6 SPORTRONIC,MAL3902G8248,936A110112,ES,16,162.0,A 4,19.4,9.3,13.0,310.0,2003-03-01
ALFA-ROMEO,166 3.0L V6 SPORTRONIC,MAL3902GV429,936A110112B,ES,16,162.0,A 4,19.4,9.3,13.0,310.0,2003-03-01
ALFA-ROMEO,GTV 2.0L TS,MAL1601HU246,916C2C0035,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,2003-03-01
ALFA-ROMEO,GTV 2.0L TS,MAL1601HW284,916C2C0035B,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,2003-03-01
ALFA-ROMEO,GTV 2.0L TS,MAL1601H3352,916C2C0035C,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,2003-03-01
ALFA-ROMEO,GTV 3.0L V6 24V,MAL1901HM244,916C1B0033,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,2003-03-01
ALFA-ROMEO,GTV 3.0L V6 24V,MAL1901HP283,916C1B0033B,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,2003-03-01
ALFA-ROMEO,GTV 3.0L V6 24V,MAL1901HV350,916C1B0033C,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,2003-03-01
ALFA-ROMEO,SPIDER 2.0L TS,MAL1605FZ245,916S2C0034,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,2003-03-01
ALFA-ROMEO,SPIDER 2.0L TS,MAL1605F3285,916S2C0034B,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,2003-03-01
ALFA-ROMEO,SPIDER 3.0L V6 24V,MAL1905FR243,916S1B0032,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,2003-03-01
ALFA-ROMEO,SPIDER 3.0L V6 24V,MAL1905FU282,916S1B0032B,ES,15,160.0,M 6,16.8,8.7,11.7,278.0,2003-03-01
ASTON MARTIN,DB7 Vantage 2PL BVA CG,MAM3901C1052,DB7C8LDC2E2,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,2003-03-01
ASTON MARTIN,DB7 Vantage 2PL CG,MAM1901CJ050,DB7C6LCB2E2,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,2003-03-01
ASTON MARTIN,DB7 Vantage 2PL CG,MAM1901CW064,DB7C6LCB3E2,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,2003-03-01
ASTON MARTIN,DB7 Vantage 4PL BVA CG,MAM3901CT044,DB7C4LDC2E4,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,2003-03-01
ASTON MARTIN,DB7 Vantage 4PL CG,MAM1901CA042,DB7C2LCB2E4,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,2003-03-01
ASTON MARTIN,DB7 Vantage 4PL CG,MAM1901CU062,DB7C2LCB3E4,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,2003-03-01
ASTON MARTIN,DB7 Vantage Volante 2PL BVA CG,MAM3905CD056,DB7D8LDC2E2,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,2003-03-01
